US,% change from 2004 to 2022,UK,% change from 2004 to 2022
help,261%,here there and everywhere,261%
savoy truffle,260%,got to get you into my life,260%
i saw her standing there,260%,come together,260%
bad boy,260%,because,260%
sexy sadie,254%,all my loving,254%
i feel fine,248%,drive my car,248%
love me do,240%,this boy,240%
i me mine,240%,yes it is,240%
misery,239%,long tall sally,239%
come together,234%,hey bulldog,234%
all you need is love,233%,eleanor rigby,233%
nowhere man,233%,the night before,233%
let it be,231%,roll over beethoven,231%
dear prudence,225%,here comes the sun,225%
good day sunshine,221%,rock and roll music,221%
honey pie,221%,lucy in the sky with diamonds,221%
wild honey pie,220%,taxman,220%
sgt peppers lonely hearts club band,220%,the word,220%
what goes on,220%,chains,220%
golden slumbers,220%,dig a pony,220%
chains,220%,getting better,220%
i want you shes so heavy,220%,good day sunshine,220%
back in the ussr,214%,all ive got to do,214%
tomorrow never knows,213%,baby youre a rich man,213%
paperback writer,206%,babys in black,206%
hello goodbye,203%,everybodys got something to hide except me and my monkey,203%
every little thing,203%,everybodys trying to be my baby,203%
this boy,202%,i dont want to spoil the party,202%
here there and everywhere,201%,kansas city heyheyheyhey,201%
girl,199%,money thats what i want,199%
because,199%,norwegian wood this bird has flown,199%
rain,197%,octopuss garden,197%
taxman,194%,sgt peppers lonely hearts club band reprise,194%
good morning good morning,189%,when im sixtyfour,189%
yer blues,188%,youre going to lose that girl,188%
blue jay way,188%,dizzy miss lizzy,188%
here comes the sun,184%,ill cry instead,184%
flying,175%,any time at all,175%
obladi oblada,174%,i wanna be your man,174%
one after 909,174%,you wont see me,174%
while my guitar gently weeps,164%,yer blues,164%
twist and shout,163%,every little thing,163%
i need you,162%,i want you shes so heavy,162%
no reply,162%,sgt peppers lonely hearts club band,162%
i should have known better,158%,polythene pam,158%
good night,157%,im a loser,157%
something,155%,the continuing story of bungalow bill,155%
run for your life,140%,komm gib mir deine hand,140%
slow down,140%,maxwells silver hammer,140%
dig it,140%,you like me too much,140%
another girl,140%,im so tired,140%
ask me why,140%,mother natures son,140%
doctor robert,140%,im looking through you,140%
please please me,132%,sie liebt dich,132%
act naturally,132%,ill follow the sun,132%
the night before,130%,im down,130%
i want to hold your hand,119%,why dont we do it in the road,119%
wait,118%,what youre doing,118%
thank you girl,113%,birthday,113%
mean mr mustard,113%,in my life,113%
dig a pony,111%,the long and winding road,111%
if i needed someone,106%,dont let me down,106%
oh darling,104%,golden slumbers,104%
for you blue,101%,i want to hold your hand,101%
birthday,95%,two of us,95%
ill be back,92%,get back,92%
ive just seen a face,92%,anna go to him,92%
lady madonna,92%,baby its you,92%
theres a place,92%,devil in her heart,92%
you wont see me,92%,dont bother me,92%
i wanna be your man,91%,hold me tight,91%
her majesty,89%,im happy just to dance with you,89%
the end,89%,it wont be long,89%
two of us,84%,little child,84%
lovely rita,83%,you cant do that,83%
long tall sally,69%,i call your name,69%
the word,68%,ive got a feeling,68%
you really got a hold on me,60%,ps i love you,60%
the inner light,60%,think for yourself,60%
tell me what you see,60%,she came in through the bathroom window,60%
a taste of honey,60%,when i get home,60%
when i get home,57%,a taste of honey,57%
the long and winding road,49%,tell me what you see,49%
tell me why,45%,the inner light,45%
roll over beethoven,44%,ill be back,44%
ticket to ride,33%,for you blue,33%
drive my car,28%,oh darling,28%
any time at all,7%,if i needed someone,7%
dont let me down,7%,mean mr mustard,7%
she came in through the bathroom window,4%,wait,4%
baby youre a rich man,0%,doctor robert,0%
everybodys got something to hide except me and my monkey,0%,ask me why,0%
everybodys trying to be my baby,0%,another girl,0%
im happy just to dance with you,0%,dig it,0%
kansas city heyheyheyhey,0%,good night,0%
norwegian wood this bird has flown,0%,i need you,0%
sgt peppers lonely hearts club band reprise,0%,obladi oblada,0%
when im sixtyfour,0%,flying,0%
youre going to lose that girl,0%,good morning good morning,0%
being for the benefit of mr kite,0%,wild honey pie,0%
its all too much,0%,misery,0%
what youre doing,0%,i me mine,0%
you know my name look up the number,0%,bad boy,0%
youve got to hide your love away,0%,im only sleeping,0%
ill get you,0%,you never give me your money,0%
think for yourself,-20%,till there was you,-20%
ps i love you,-20%,maggie mae,-20%
rock and roll music,-30%,do you want to know a secret,-30%
ive got a feeling,-40%,glass onion,-40%
i call your name,-40%,within you without you,-40%
things we said today,-56%,mr moonlight,-56%
get back,-67%,piggies,-67%
all ive got to do,-100%,the ballad of john and yoko,-100%
anna go to him,-100%,your mother should know,-100%
baby its you,-100%,carry that weight,-100%
babys in black,-100%,not a second time,-100%
devil in her heart,-100%,old brown shoe,-100%
dont bother me,-100%,love you to,-100%
hold me tight,-100%,rocky raccoon,-100%
i dont want to spoil the party,-100%,cant buy me love,-100%
it wont be long,-100%,long long long,-100%
little child,-100%,shes leaving home,-100%
money thats what i want,-100%,only a northern song,-100%
octopuss garden,-100%,cry baby cry,-100%
you cant do that,-100%,dont pass me by,-100%
please mr postman,-100%,being for the benefit of mr kite,-100%
shes a woman,-100%,its all too much,-100%
dizzy miss lizzy,-100%,you know my name look up the number,-100%
ill cry instead,-100%,youve got to hide your love away,-100%
