"Search interest in each political candidate by state from 3/16/15-6/16/15
All values indexed to 100, where 100 is the max search interest",,,,,,,,,,,,,,,,,
Pennsylvania ,27.01,9.31,5.72,11.64,3.21,1.83,8.96,6.11,4.48,2.11,3.98,1.63,3.28,0.61,0.54,1.12,0.62
South Carolina ,25.62,5.20,7.97,11.34,3.27,2.54,8.82,4.56,3.14,2.49,1.63,8.30,1.93,0.34,0.43,1.76,0.52
Indiana ,25.61,7.65,6.58,11.27,3.82,2.04,9.40,5.82,4.63,2.34,1.70,1.66,1.53,0.55,0.42,0.98,0.42
Minnesota ,25.58,9.36,4.12,10.63,2.61,1.71,7.63,4.45,4.20,4.85,1.18,1.29,2.32,0.42,0.36,0.92,0.50
Ohio ,25.25,7.93,5.16,10.60,2.65,1.87,9.21,4.86,3.58,2.37,1.46,1.52,1.58,0.43,0.48,1.02,0.41
Mississippi ,25.11,7.73,9.46,11.36,5.20,3.15,10.72,4.73,4.26,2.52,2.68,1.73,1.58,0.00,0.00,0.79,0.00
California ,24.89,8.03,3.61,10.22,2.68,1.43,6.88,4.99,3.94,2.19,1.84,1.26,1.53,0.40,0.40,0.96,0.45
Colorado ,24.74,9.69,4.99,11.44,2.48,1.80,8.46,4.96,3.73,2.51,1.56,1.96,2.14,0.28,0.40,1.29,0.34
Oklahoma ,24.71,6.37,5.89,13.38,2.15,2.55,8.46,8.31,4.62,2.36,1.82,1.64,1.38,0.33,0.40,0.98,0.22
Idaho ,24.59,11.09,9.60,12.59,3.15,2.25,8.55,5.40,2.85,2.70,2.25,1.35,1.80,0.45,0.45,0.60,0.60
Nevada ,24.41,8.63,3.80,10.66,1.97,1.97,8.31,5.20,4.06,2.03,1.14,1.27,1.84,0.19,0.32,1.27,0.44
Kentucky ,24.22,7.00,6.56,9.33,2.10,2.28,15.42,5.34,4.05,1.88,1.69,1.69,1.66,0.52,0.26,1.36,0.40
Alabama ,24.21,7.01,9.39,10.64,3.17,2.31,8.80,7.27,4.62,2.58,1.32,2.05,1.39,0.26,0.26,1.12,0.46
Illinois ,24.17,7.64,4.21,9.87,2.62,1.64,6.70,4.78,3.72,2.96,1.49,1.41,1.77,0.37,0.37,1.11,0.39
Tennessee ,23.92,6.70,7.05,11.17,2.26,2.76,8.69,5.42,3.75,2.60,1.62,1.51,1.83,0.35,0.43,0.96,0.27
Alaska ,23.84,9.41,6.59,13.49,2.51,2.20,5.65,4.71,1.88,7.22,0.00,1.57,2.82,0.94,0.00,0.94,0.00
Arizona ,23.84,7.61,4.78,10.85,3.18,2.04,7.58,6.13,4.11,2.35,1.83,1.39,1.60,0.65,0.28,1.14,0.41
Florida ,23.40,6.98,5.76,11.13,2.74,1.86,7.34,12.21,6.02,2.05,1.37,1.43,1.26,0.33,0.51,1.04,0.41
Michigan ,23.17,8.13,6.56,10.49,2.65,1.47,7.64,4.96,3.45,2.18,1.47,1.00,1.59,0.10,0.26,0.90,0.41
Wisconsin ,22.42,9.24,4.42,8.64,1.96,1.51,7.60,3.35,3.17,33.38,1.69,0.80,1.96,0.36,0.30,1.07,0.30
North Carolina ,22.35,6.82,7.48,9.99,3.26,1.93,7.23,5.00,3.84,2.13,1.71,2.32,1.68,0.36,0.45,0.85,0.40
Hawaii ,21.89,8.44,3.74,9.50,2.01,0.86,6.23,5.18,3.16,1.92,1.05,0.86,1.15,0.38,0.29,0.67,0.38
Utah ,21.83,6.11,5.14,11.70,2.38,1.22,6.11,5.79,3.21,2.12,1.29,1.22,1.41,0.32,0.00,0.77,0.45
Missouri ,21.78,7.83,5.55,10.62,3.00,1.85,8.19,5.53,3.42,2.07,1.44,1.59,1.75,0.13,0.35,1.24,0.45
Kansas ,21.72,8.80,5.53,10.94,2.64,2.26,6.28,4.02,3.83,1.82,1.32,1.19,1.38,0.38,0.57,1.63,0.38
Texas ,21.38,5.16,4.87,16.19,2.56,1.79,6.44,4.62,3.75,1.75,1.06,1.30,1.29,0.29,0.20,3.32,0.28
Louisiana ,21.25,6.79,5.77,10.93,2.89,2.72,7.53,4.58,2.77,1.81,0.74,1.02,0.96,0.34,0.28,1.07,0.34
Georgia ,20.54,5.35,6.37,8.82,2.22,1.87,6.49,4.62,3.21,1.85,1.30,1.34,0.95,0.41,0.36,0.98,0.36
Oregon ,15.32,6.87,2.10,6.55,1.40,1.12,4.57,2.83,2.27,1.12,0.90,0.90,1.10,0.29,0.19,0.50,0.33
Virginia ,13.99,4.20,3.46,6.26,1.81,0.89,4.50,3.34,2.31,1.36,1.37,1.01,0.94,0.40,0.18,0.61,0.36
