Search interest in the SSE Composite Index vs. Greek Withdrawal from the Eurozone ,,,
Based on searches from 7/5/2015 - 7/9/2015,,,
country,% Searches for SSE Composite Index,% Searches for Grexit,Most Searched
French Polynesia,23.53%,76.47%,Greek Withdrawal from the Eurozone
Estonia,33.33%,66.67%,Greek Withdrawal from the Eurozone
Zambia,61.54%,38.46%,SSE Composite Index
United Arab Emirates,37.38%,62.62%,Greek Withdrawal from the Eurozone
Thailand,63.74%,36.26%,SSE Composite Index
Brunei Darussalam,34.62%,65.38%,Greek Withdrawal from the Eurozone
United Kingdom,19.57%,80.43%,Greek Withdrawal from the Eurozone
Fiji,62.50%,37.50%,SSE Composite Index
Seychelles,50.00%,50.00%,SSE Composite Index
Sweden,10.92%,89.08%,Greek Withdrawal from the Eurozone
Isle of Man,21.43%,78.57%,Greek Withdrawal from the Eurozone
Norway,20.77%,79.23%,Greek Withdrawal from the Eurozone
Gibraltar,9.09%,90.91%,Greek Withdrawal from the Eurozone
Finland,20.49%,79.51%,Greek Withdrawal from the Eurozone
Rwanda,66.67%,33.33%,SSE Composite Index
Ireland,13.91%,86.09%,Greek Withdrawal from the Eurozone
Greece,1.49%,98.51%,Greek Withdrawal from the Eurozone
Czech Republic,15.45%,84.55%,Greek Withdrawal from the Eurozone
Netherlands,6.67%,93.33%,Greek Withdrawal from the Eurozone
Jersey,20.00%,80.00%,Greek Withdrawal from the Eurozone
Qatar,32.61%,67.39%,Greek Withdrawal from the Eurozone
Zimbabwe,45.45%,54.55%,Greek Withdrawal from the Eurozone
Belgium,7.59%,92.41%,Greek Withdrawal from the Eurozone
Philippines,48.48%,51.52%,Greek Withdrawal from the Eurozone
Cyprus,2.16%,97.84%,Greek Withdrawal from the Eurozone
Vietnam,88.06%,11.94%,SSE Composite Index
French Guiana,16.67%,83.33%,Greek Withdrawal from the Eurozone
Hungary,20.77%,79.23%,Greek Withdrawal from the Eurozone
Slovakia,13.66%,86.34%,Greek Withdrawal from the Eurozone
Saint Lucia,8.33%,91.67%,Greek Withdrawal from the Eurozone
India,42.68%,57.32%,Greek Withdrawal from the Eurozone
Bhutan,25.00%,75.00%,Greek Withdrawal from the Eurozone
Poland,25.26%,74.74%,Greek Withdrawal from the Eurozone
South Africa,26.76%,73.24%,Greek Withdrawal from the Eurozone
Bahrain,36.00%,64.00%,Greek Withdrawal from the Eurozone
Lithuania,18.75%,81.25%,Greek Withdrawal from the Eurozone
Chad,100.00%,0.00%,SSE Composite Index
Bulgaria,12.74%,87.26%,Greek Withdrawal from the Eurozone
Portugal,9.22%,90.78%,Greek Withdrawal from the Eurozone
Guam,50.00%,50.00%,SSE Composite Index
Kenya,32.38%,67.62%,Greek Withdrawal from the Eurozone
Spain,6.24%,93.76%,Greek Withdrawal from the Eurozone
Trinidad and Tobago,37.50%,62.50%,Greek Withdrawal from the Eurozone
Timor-Leste,50.00%,50.00%,SSE Composite Index
Kuwait,38.46%,61.54%,Greek Withdrawal from the Eurozone
Cuba,25.00%,75.00%,Greek Withdrawal from the Eurozone
Israel,38.83%,61.17%,Greek Withdrawal from the Eurozone
Russia,70.78%,29.22%,SSE Composite Index
New Caledonia,6.90%,93.10%,Greek Withdrawal from the Eurozone
Niger,25.00%,75.00%,Greek Withdrawal from the Eurozone
Cape Verde,14.29%,85.71%,Greek Withdrawal from the Eurozone
France,5.13%,94.87%,Greek Withdrawal from the Eurozone
Nepal,41.67%,58.33%,Greek Withdrawal from the Eurozone
Lebanon,19.40%,80.60%,Greek Withdrawal from the Eurozone
Uzbekistan,72.73%,27.27%,SSE Composite Index
Italy,3.30%,96.70%,Greek Withdrawal from the Eurozone
Indonesia,64.18%,35.82%,SSE Composite Index
Jamaica,38.46%,61.54%,Greek Withdrawal from the Eurozone
Sri Lanka,34.48%,65.52%,Greek Withdrawal from the Eurozone
Bolivia,55.17%,44.83%,SSE Composite Index
Ukraine,59.03%,40.97%,SSE Composite Index
Romania,9.02%,90.98%,Greek Withdrawal from the Eurozone
Tajikistan,100.00%,0.00%,SSE Composite Index
Afghanistan,25.00%,75.00%,Greek Withdrawal from the Eurozone
Mozambique,33.33%,66.67%,Greek Withdrawal from the Eurozone
Belarus,66.67%,33.33%,SSE Composite Index
Puerto Rico,40.91%,59.09%,Greek Withdrawal from the Eurozone
Croatia,7.77%,92.23%,Greek Withdrawal from the Eurozone
Botswana,12.50%,87.50%,Greek Withdrawal from the Eurozone
Oman,25.93%,74.07%,Greek Withdrawal from the Eurozone
Tanzania,42.11%,57.89%,Greek Withdrawal from the Eurozone
Chile,38.16%,61.84%,Greek Withdrawal from the Eurozone
Kyrgyzstan,50.00%,50.00%,SSE Composite Index
Somalia,33.33%,66.67%,Greek Withdrawal from the Eurozone
Kazakhstan,62.50%,37.50%,SSE Composite Index
Barbados,20.00%,80.00%,Greek Withdrawal from the Eurozone
Maldives,10.00%,90.00%,Greek Withdrawal from the Eurozone
Dominican Republic,25.93%,74.07%,Greek Withdrawal from the Eurozone
Panama,22.50%,77.50%,Greek Withdrawal from the Eurozone
Saudi Arabia,47.22%,52.78%,Greek Withdrawal from the Eurozone
Uruguay,27.78%,72.22%,Greek Withdrawal from the Eurozone
Burkina Faso,6.25%,93.75%,Greek Withdrawal from the Eurozone
Democratic Republic of the Congo,8.70%,91.30%,Greek Withdrawal from the Eurozone
Montenegro,22.22%,77.78%,Greek Withdrawal from the Eurozone
Uganda,14.29%,85.71%,Greek Withdrawal from the Eurozone
Serbia,14.41%,85.59%,Greek Withdrawal from the Eurozone
Georgia,12.24%,87.76%,Greek Withdrawal from the Eurozone
Ethiopia,42.86%,57.14%,Greek Withdrawal from the Eurozone
Libya,100.00%,0.00%,SSE Composite Index
Armenia,18.18%,81.82%,Greek Withdrawal from the Eurozone
Venezuela,24.83%,75.17%,Greek Withdrawal from the Eurozone
Angola,11.76%,88.24%,Greek Withdrawal from the Eurozone
Argentina,34.10%,65.90%,Greek Withdrawal from the Eurozone
Senegal,6.45%,93.55%,Greek Withdrawal from the Eurozone
Bosnia and Herzegovina,13.95%,86.05%,Greek Withdrawal from the Eurozone
Ghana,18.18%,81.82%,Greek Withdrawal from the Eurozone
Pakistan,25.56%,74.44%,Greek Withdrawal from the Eurozone
Guatemala,25.00%,75.00%,Greek Withdrawal from the Eurozone
C̫te d'Ivoire,6.06%,93.94%,Greek Withdrawal from the Eurozone
Reunion,2.27%,97.73%,Greek Withdrawal from the Eurozone
Mexico,25.69%,74.31%,Greek Withdrawal from the Eurozone
Sudan,80.00%,20.00%,SSE Composite Index
Costa Rica,13.04%,86.96%,Greek Withdrawal from the Eurozone
Bangladesh,32.35%,67.65%,Greek Withdrawal from the Eurozone
Peru,18.31%,81.69%,Greek Withdrawal from the Eurozone
Iraq,73.33%,26.67%,SSE Composite Index
Macedonia (FYROM),3.08%,96.92%,Greek Withdrawal from the Eurozone
Jordan,15.79%,84.21%,Greek Withdrawal from the Eurozone
Turkey,13.86%,86.14%,Greek Withdrawal from the Eurozone
Colombia,20.00%,80.00%,Greek Withdrawal from the Eurozone
Honduras,12.50%,87.50%,Greek Withdrawal from the Eurozone
Nigeria,14.63%,85.37%,Greek Withdrawal from the Eurozone
Tunisia,5.41%,94.59%,Greek Withdrawal from the Eurozone
Syria,40.00%,60.00%,Greek Withdrawal from the Eurozone
Moldova,18.18%,81.82%,Greek Withdrawal from the Eurozone
Brazil,29.81%,70.19%,Greek Withdrawal from the Eurozone
Paraguay,15.38%,84.62%,Greek Withdrawal from the Eurozone
Iran,55.00%,45.00%,SSE Composite Index
El Salvador,11.11%,88.89%,Greek Withdrawal from the Eurozone
Albania,2.38%,97.62%,Greek Withdrawal from the Eurozone
Ecuador,18.18%,81.82%,Greek Withdrawal from the Eurozone
Algeria,5.56%,94.44%,Greek Withdrawal from the Eurozone
Morocco,2.87%,97.13%,Greek Withdrawal from the Eurozone
Egypt,6.78%,93.22%,Greek Withdrawal from the Eurozone
Azerbaijan,5.26%,94.74%,Greek Withdrawal from the Eurozone
Aruba,0.00%,100.00%,Greek Withdrawal from the Eurozone
Aland Islands,0.00%,100.00%,Greek Withdrawal from the Eurozone
Antigua and Barbuda,0.00%,100.00%,Greek Withdrawal from the Eurozone
Burundi,0.00%,100.00%,Greek Withdrawal from the Eurozone
Benin,0.00%,100.00%,Greek Withdrawal from the Eurozone
Caribbean Netherlands,0.00%,100.00%,Greek Withdrawal from the Eurozone
The Bahamas,0.00%,100.00%,Greek Withdrawal from the Eurozone
Saint Barth̩lemy,0.00%,100.00%,Greek Withdrawal from the Eurozone
Central African Republic,0.00%,100.00%,Greek Withdrawal from the Eurozone
Cameroon,0.00%,100.00%,Greek Withdrawal from the Eurozone
Comoros,0.00%,100.00%,Greek Withdrawal from the Eurozone
Cura̤ao,0.00%,100.00%,Greek Withdrawal from the Eurozone
Djibouti,0.00%,100.00%,Greek Withdrawal from the Eurozone
Dominica,0.00%,100.00%,Greek Withdrawal from the Eurozone
Falkland Islands (Islas Malvinas),0.00%,100.00%,Greek Withdrawal from the Eurozone
Gabon,0.00%,100.00%,Greek Withdrawal from the Eurozone
Guinea,0.00%,100.00%,Greek Withdrawal from the Eurozone
Guadeloupe,0.00%,100.00%,Greek Withdrawal from the Eurozone
Grenada,0.00%,100.00%,Greek Withdrawal from the Eurozone
Haiti,0.00%,100.00%,Greek Withdrawal from the Eurozone
Lesotho,0.00%,100.00%,Greek Withdrawal from the Eurozone
Madagascar,0.00%,100.00%,Greek Withdrawal from the Eurozone
Mali,0.00%,100.00%,Greek Withdrawal from the Eurozone
Northern Mariana Islands,0.00%,100.00%,Greek Withdrawal from the Eurozone
Mauritania,0.00%,100.00%,Greek Withdrawal from the Eurozone
Martinique,0.00%,100.00%,Greek Withdrawal from the Eurozone
Malawi,0.00%,100.00%,Greek Withdrawal from the Eurozone
Mayotte,0.00%,100.00%,Greek Withdrawal from the Eurozone
Nicaragua,0.00%,100.00%,Greek Withdrawal from the Eurozone
Sierra Leone,0.00%,100.00%,Greek Withdrawal from the Eurozone
San Marino,0.00%,100.00%,Greek Withdrawal from the Eurozone
Ṣo Tom̩ and Pr�_ncipe,0.00%,100.00%,Greek Withdrawal from the Eurozone
Swaziland,0.00%,100.00%,Greek Withdrawal from the Eurozone
Sint Maarten,0.00%,100.00%,Greek Withdrawal from the Eurozone
Togo,0.00%,100.00%,Greek Withdrawal from the Eurozone
Saint Vincent and the Grenadines,0.00%,100.00%,Greek Withdrawal from the Eurozone
Vanuatu,0.00%,100.00%,Greek Withdrawal from the Eurozone
Kosovo,0.00%,100.00%,Greek Withdrawal from the Eurozone
