District,Code,State,FIRST,SECOND,THIRD,FOURTH,FIFTH,SIXTH,SEVENTH,EIGHTH,NINTH,TENTH,2003 Invasion of Iraq,Abortion,Abortion-rights movement,Affirmative action,Agricultural subsidies,Aid,Alternative energy,Anti-abortion movements,Basic income,Body worn video,Campaign finance,Campus sexual assault,Capital gains tax,Capital punishment,Charter schools,Chelsea Manning,Climate change,Common core,Confederate states,Corporate tax,DACA,Dakota Access pipeline,Dream act,Drug policy,Drug testing welfare recipients,Economic stimulus,Edward Snowden,Electoral college,Electoral fraud,Electronic Classroom of Tomorrow,Eminent domain,Equal pay for equal work,Estate tax in the United States,Euthanasia,Executive Order 13769,Federal reserve system,First amendment,Flag desecration,Flags of the confederate states,Free trade,Freedom of religion,Gender identity,Gender workplace diversity,Genetically modified organism,Gerrymandering,Global warming,Government spending,Gun control,Health care,Hydraulic fracturing,Immigration,Immigration to the United States,Income tax,Iraq War,ISIS,Islam,Israel boycott,Joint Comprehensive Plan of Action (Iran Deal),Labor Unions in the United States,Legal history of cannabis in the United States,Legality of cannabis,LGBT adoption rights,LGBT rights,Lobbying,Lockheed Martin F-35,Maternity leave in the United States,Medicaid,Medicare,Mental health,Mexico-United States barrier,Military budget,Military service,Minimum wage,NAFTA,National Debt of the United States,National security,National Security Agency,NATO,Net neutrality,No fly list,North Korea and weapons of mass destruction,Nuclear power,Obamacare,Offshore bank,Offshore drilling,Overtime pay,Paris Agreement,Patriot act,Pensions,Planned Parenthood,Political corruption,Prescription costs,PRISM,Prison overcrowding,Private Prisons,Property taxes,Public transportation,Right to work,Russian interference in the 2016 United States elections,Russian military action in Syria,Safe spaces,Same-sex marriage,Sanctuary cities,September 11 attacks,Sick leave,Single-payer healthcare,Social programs in the United States,Social security,Solitary confinement,Space exploration,Student loans in the United States,Syrian civil war,Tariff,Tax Cuts and Jobs Act of 2017,Term limits in the United States,Terrorism,Torture,TPP,Transgender people in the military,U.S. national anthem protests,United Nations,Vaccine controversies,Voter turnout,Voting age,War in Afghanistan,Welfare,Whistleblower,Women in combat,Women's health
Arkansas 3rd,AR-03,AR,Immigration,Health care,Medicaid,Mental health,Medicare,Minimum wage,Abortion,Social security,Nuclear power,Property taxes,0.2,6.51,0.61,0.65,0.02,1.09,0.04,0.68,0.19,0.05,0.63,0.04,0.44,3.11,1.37,0.04,2.54,3.07,3.03,0.3,0.6,0,0.52,0.07,0,0.14,0.31,1.21,0.6,0,0.13,0.09,0.13,0.7,0.24,1.51,0.89,0.02,0.64,0.35,0.05,0.21,0,0.88,1.09,1.46,0.9,0.93,10.7,0.33,16.44,0.96,2.97,0.29,1.04,3.17,0,0.02,0,0.14,1.88,0.16,0.02,0.84,0.3,0,9.23,8.07,8.78,0.14,0.16,0.23,7.74,0.49,0.93,0.2,0.42,0.43,0.32,0.03,0,3.62,2.31,0,0.04,1.18,0.76,0.22,1.69,1.67,0.11,0.02,0,0,0.02,3.44,0.8,0.09,0,0,0.06,0.65,0.14,2.34,0.94,0,0.42,4.72,0.08,0.42,0.31,0.05,2.28,0,0.15,2.5,0.65,0.29,0,0,2.87,0.04,0.89,0.21,0.1,0.22,0.48,0.02,0.95
Arkansas 4th,AR-04,AR,Health care,Mental health,Abortion,Medicaid,Minimum wage,Immigration,Common core,Nuclear power,Legality of cannabis,Medicare,0.67,8.35,0.67,0,0,0,0,0,0,0,0.72,0,0.69,2.92,0.67,0,2.04,5.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08,0,0.68,0.69,0.68,0.71,0,0,0,0,0.69,0,2.04,0,0.69,14.12,0,6.09,0,0.72,0.72,2.15,2.03,0,0,0,0,4.1,0,0,0,0,0,8.14,3.53,12.75,0,0,1.39,6.85,0.73,0,0,0,1.36,0,0,0,5.42,1.35,0,0,0.7,0,0,1.4,0.69,0,0,0,0,0,2.71,0.67,0,0,0,0,0,0,2.84,0,0,0,2.01,0,0,0,0,0,0,0,1.42,1.33,0,0,0,3.44,0,0,0,0,0,0,0,0
Arizona 1st,AZ-01,AZ,Immigration,Medicare,Islam,Term limits in the United States,Health care,Gerrymandering,September 11 attacks,Mental health,Social security,United Nations,0.36,1.15,0,0,0,0,0,0,0,0,0.77,0,1.11,3.93,1.09,0,1.5,1.85,2.52,0.38,0.39,0,0.4,0,0,0,0.39,1.15,0,0,0.4,0,0,0.75,0,1.48,0.76,0,2.29,0.38,0.73,0,0,1.56,9.38,0.74,0,1.14,11.28,0.79,25.22,3.07,2.66,0.39,2.71,12.42,0,0,0,0,0,0,0,0.74,0,0,1.08,12.53,5.82,0.38,0,1.91,2.92,0,1.09,0,0.39,1.1,0,0,0,2.95,4.01,0,0,1.13,0,0.73,0.75,2.6,0,0,0,0,0,2.54,0.36,0.38,0,0,0,0,0,6.93,0,0,0,5.47,0.78,0,0,0.73,2.19,0,11.55,4.22,2.16,0.78,0,0,4.82,0,0,0,0.37,0.37,0,0,0
Arizona 2nd,AZ-02,AZ,Health care,Immigration,Medicare,Mental health,Social security,Minimum wage,Terrorism,Abortion,Property taxes,Islam,0.3,4.12,0.54,1.26,0,0.99,0.36,0.23,0.1,0.25,0.67,0.05,0.61,3.07,1.99,0.2,1.33,2.13,1.42,0.11,1,0.01,0.14,0.13,0,0,0.62,2.45,0.53,0,0.15,0.14,0.26,1.06,0.11,1.39,1.3,0,0.43,0.18,0.32,0.23,0,1.25,0.95,1.53,0.52,1.01,19.36,0.41,17.94,0.31,1.98,0.71,2.19,3.15,0.01,0.01,0.02,0.01,1.65,0.06,0.02,1.08,0.45,0,2.18,13.77,7.14,0.21,0.09,0.57,5.44,0.58,0.74,0.27,0.85,1.09,0.4,0.01,0,1.76,2.94,0.04,0.2,0.34,0.17,0.33,1.77,2.62,0.59,0.12,0.13,0,0.11,3.9,0.82,0.09,0,0,0.04,0.33,0.2,2.88,1.08,0,0.39,6.11,0.03,0.06,0.04,0.5,1.41,0,0.02,4.74,1.58,0.02,0,0.03,1.81,0.06,0.69,0.16,0.12,0.4,0.3,0.13,0.37
Arizona 3rd,AZ-03,AZ,Immigration,Health care,Medicare,Islam,Women's health,Mental health,Term limits in the United States,Gerrymandering,September 11 attacks,Capital punishment,0.28,3.41,0,0.51,0,0.71,0,0.21,0.1,0,0.59,0.1,0.85,4.44,1.13,0,1.31,2.6,2.51,0.19,0.4,0.11,0.2,0.1,0,0,0.2,2.12,0.1,0,0.41,0,0,1.28,0.1,1.92,2.08,0,1.25,0.39,0.65,0,0,0.99,5.1,1.34,0.2,0.77,11.92,2.85,22.93,1.74,3.49,0.19,1.87,9.7,0,0,0,0,0.79,0,0,0.57,0.5,0,1.82,10.81,6.41,0.39,0,1.36,3.83,0,1.03,0.1,0.3,1.04,0.1,0,0,2.84,3.17,0,0,0.87,0.21,0.95,2.28,2.52,0.2,0,0,0,0.1,3.3,0.47,0.29,0,0,0,0.61,0.1,4.59,0.1,0,0.39,4.09,0.39,0,0.39,0.37,1.68,0,5.77,3.54,1.95,0.39,0,0,3.3,0.3,0.3,0,0.38,0.28,0,0,6.79
Arizona 4th,AZ-04,AZ,Health care,Medicare,Immigration,Mental health,Social security,Minimum wage,September 11 attacks,Abortion,Property taxes,Terrorism,0.14,4.08,0,0.89,0,1.03,0,0.15,0,0,0.89,0,0.57,3.1,1.82,0,1.98,2.12,0.82,0,0.6,0,0.3,0.29,0,0,0.3,0.58,0.43,0,0.46,0,0.14,0.14,0,0.99,0.58,0,0.29,0,0.74,0.14,0,0.75,1.2,1.4,1.02,1.16,22.46,0.3,17.7,0.29,1.9,0.58,1.92,3.48,0,0,0,0,1.27,0,0,0.57,0.29,0,2.64,21,7.78,0.58,0.14,0.15,4.81,0.6,1.11,0.74,1.91,2.52,0.42,0.14,0,1.68,3.2,0,0,0,0.14,0.88,2.3,1.71,0,0,0,0,0,3.75,1.39,0.14,0.14,0,0,0.29,0.43,4.11,0.86,0,0.28,7.77,0,0.3,0.28,0.28,1.39,0,0,3.48,1.92,0.3,0,0,1.98,0.43,0.71,0.29,0.14,0.56,0,0,0.73
Arizona 5th,AZ-05,AZ,Health care,Immigration,Medicare,Mental health,Social security,Islam,Whistleblower,Minimum wage,Common core,Charter schools,0.17,2.4,0.18,0.37,0,0.92,0,0.39,0,0,0,0,0.18,3.05,4.58,0,1.43,4.84,3.7,0,0.94,0,0.19,0,0,0,0,0.38,0.37,0,0,0.19,0,0.73,0.37,2.32,0.74,0,1.48,0,0,0.19,0,2.63,0.38,0.71,0.73,0.92,14.23,0,11.31,0.56,1.13,0.19,0.74,6.35,0,0,0,0,0.53,0,0,1.8,0.18,0,2.48,9.35,7.91,0,0.18,0,5.18,0,1.24,0,0.19,0.18,0,0,0,2.83,1.76,0,0,0.34,0.18,0,3.28,1.1,0.75,0,0,0,0,3.68,0.18,0,0,0,0.18,0.38,0,2.42,1.27,0,0.18,7.74,0,0.35,0,0,3.17,0,0,2.58,0.17,0,0,0,1.61,0,1.44,0.36,0.18,0,5.55,0,0.19
Arizona 6th,AZ-06,AZ,Health care,Immigration,Mental health,Medicare,Minimum wage,Islam,Abortion,Social security,Federal reserve system,Terrorism,0.09,4.66,0.26,2.07,0.07,1.45,0.09,0.33,0.22,0.34,0.35,0.09,0.37,3.22,1.6,0.25,3.67,1.49,1.42,0.34,1.7,0,0.09,0.11,0,0.02,0.3,1.21,0.36,0,0.14,0.2,0.28,1.05,0.29,4.07,1.08,0,0.52,0.68,0.15,0.27,0,1.17,0.69,1.43,0.68,1.33,28.2,0.51,12.95,0.34,3,0.29,1.58,5.31,0.02,0.02,0.02,0,1.31,0.02,0.09,1.32,0.46,0,3.32,7.8,8.83,0.13,0.35,0.36,6.45,0.9,0.73,0.48,0.77,0.96,0.8,0.02,0,2.23,2.94,0.07,0.11,1.15,0.27,0.96,2.03,3.48,0.27,0.02,0,0.02,0.18,3.63,1.53,0.42,0,0.02,0.07,0.85,0.13,3.28,1.23,0,0.41,4.17,0.18,0.46,0.15,0.24,3.19,0,0.11,3.75,1.2,0.16,0,0.02,3.69,0.24,0.64,0.13,0.04,0.19,0.34,0,0.61
Arizona 7th,AZ-07,AZ,Health care,Immigration,Medicare,Mental health,Social security,Minimum wage,Abortion,Islam,DACA,September 11 attacks,0.03,4.68,0.25,0.46,0.02,0.91,0.08,0.46,0.04,0.17,0.45,0.01,0.34,2.45,2.89,0.05,1.41,2.1,2.04,0.16,3.1,0.01,0.27,0.05,0,0,0.28,0.95,0.23,0,0.14,0.15,0.13,1.11,0.09,1.34,0.95,0.03,0.66,0.13,0.19,0.13,0,1.72,0.74,1.03,0.4,1.08,16.32,0.65,14.66,0.29,2.25,0.25,1.16,3.81,0.01,0.02,0.04,0,1.05,0.01,0.03,0.42,0.83,0,2.79,10.15,6.79,0.13,0.16,0.65,5.02,0.17,0.72,0.24,0.46,0.66,0.45,0.01,0,1.58,2.7,0.04,0.03,0.64,0.06,0.38,2.24,3.01,0.19,0.06,0.02,0.06,0.1,2.74,0.95,0.09,0.01,0,0.1,0.63,0.17,3.05,1,0,0.41,5.64,0.13,0.2,0.14,0.17,1.9,0,0.05,2.65,1.4,0.06,0,0.01,1.58,0.19,0.52,0.16,0.07,0.22,0.22,0.23,0.63
Arizona 8th,AZ-08,AZ,Health care,Immigration,Medicare,Mental health,Electoral college,Social security,Minimum wage,Abortion,Confederate states,Capital punishment,0.09,4.04,0.27,0.37,0.02,1.17,0.02,0.38,0.02,0.22,0.09,0,0.47,3.71,2.4,0.08,0.91,2.64,3.86,0.06,0.95,0,0.14,0,0,0,0.13,5.76,0.16,0,0.13,0,0.05,0.51,0.04,0.98,0.83,0.04,0.9,0.06,0.17,0.34,0,1.29,0.62,0.85,0.24,1.03,14.63,0.25,13.39,0.47,1.73,0.31,1.12,3.24,0,0,0.02,0,1.38,0,0.02,0.45,1.26,0,2.03,11.91,6.48,0.2,0.22,0.48,4.7,0.25,0.64,0.11,0.71,0.76,0.32,0.04,0,2.26,3.42,0,0,0.5,0.18,0.77,2.33,2.15,0.41,0.04,0,0,0.08,2.76,0.79,0.09,0,0,0.18,0.54,0.14,3.51,1.12,0,0.46,5.5,0.09,0.22,0.06,0.09,1.69,0,0.04,3.19,1.17,0.05,0,0.04,2.1,0.14,0.42,1.22,0.13,0.31,0.14,0.05,0.54
Arizona 9th,AZ-09,AZ,Health care,Immigration,Medicare,Mental health,Minimum wage,Social security,Islam,Abortion,September 11 attacks,Property taxes,0.04,4.62,0.27,1,0.05,0.97,0.09,0.37,0.1,0.21,0.37,0.06,0.54,2.63,2.1,0.12,1.77,1.79,1.46,0.22,1.41,0.03,0.17,0.11,0,0.01,0.32,1.36,0.27,0,0.14,0.13,0.18,0.97,0.15,2.53,1.21,0.05,0.42,0.28,0.25,0.23,0,1.49,0.7,0.94,0.51,1.03,21.09,0.37,13.84,0.35,2.59,0.24,1.11,4.82,0.01,0.04,0.01,0.01,1.43,0.03,0.04,0.91,0.43,0,2.91,10.79,7.66,0.14,0.23,0.38,5.68,0.59,0.74,0.36,0.49,0.71,0.48,0.02,0,1.94,2.61,0.04,0.07,0.81,0.2,0.67,2.04,2.81,0.28,0.04,0,0.01,0.12,3.21,1.1,0.29,0,0.01,0.08,0.81,0.23,3.31,1.24,0,0.41,5.17,0.11,0.47,0.1,0.15,2.54,0,0.06,3.13,1.3,0.12,0,0.02,2.47,0.2,0.48,0.23,0.05,0.16,0.25,0.04,0.81
California 1st,CA-01,CA,Immigration,Military service,Overtime pay,DACA,Sick leave,Property taxes,2003 Invasion of Iraq,Abortion,Abortion,Abortion,16.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.85,0,0,0,0,0,0,0,0,0,0,0,0,0,17.69,0,0,0,0,0,0,0,0,0,16.98,0,0,0,0,0,0,0,0,17.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California 2nd,CA-02,CA,Immigration,Health care,Medicare,Mental health,Minimum wage,United Nations,Planned Parenthood,Social security,Capital punishment,Islam,0.65,4.06,0.51,1.11,0,0.7,0.01,0.38,0.04,0.43,0.81,0.41,1.95,4.65,1.53,0.04,2.72,2.13,1.06,1.32,0.59,0,0.27,0,0,0,0.12,1.1,0.16,0.01,0.06,0.02,0.14,0.48,0.03,3.06,0.87,0.04,0.28,0.43,0.04,0.38,0,1.73,1.23,0.85,0.58,0.87,17.94,0.33,18.79,0.13,3.25,0.09,1.68,4.59,0,0,0.02,0,0.84,0,0,0.44,0.04,0,2.13,10.99,7.88,0.03,0.21,0.91,6.86,0.24,0.95,0.06,0.23,0.62,0.28,0.01,0,0.82,1.9,0.1,0.07,0.87,0.04,0.97,2.88,5.34,0.03,0.01,0,0,0.04,4.38,1.83,0.01,0,0,0.01,0.83,0.17,2.18,1.08,0,0.16,5.05,0,0.25,0.03,0.06,1.98,0,0.03,3.87,1.1,0.09,0,0,5.37,0.06,0.99,0.09,0.03,0.06,0.1,0,0.83
California 3rd,CA-03,CA,Immigration,Health care,Mental health,Medicare,Minimum wage,Islam,Social security,Abortion,Planned Parenthood,Property taxes,0.1,5.01,0.17,1.35,0,2.15,0.12,0.29,0.02,0.14,0.47,0.06,0.51,3.06,3.19,0.06,3.38,3.12,1.03,0.19,1.9,0.02,0.54,0.08,0,0.04,0.42,1.74,0.26,0,0.14,0.23,0.21,1.27,0.28,1.14,1.05,0,0.35,0.25,0.21,0.31,0,1.34,1.14,1.98,0.68,1.64,12.41,0.39,17.18,0.65,2.53,0.3,1.08,6.53,0.02,0,0.05,0,0.59,0,0.12,0.67,0.35,0,1.11,8.15,8.94,0.2,0.54,0.43,6.85,0.67,0.51,0.27,0.62,0.88,0.43,0.02,0.02,2.58,1.95,0.02,0.91,0.66,0.23,1,1.93,4.1,0.15,0,0.02,0,0.07,3.8,1.39,0.02,0,0,0.05,1.11,0.45,2.58,0.99,0,1.22,5.16,0.07,0.21,0.09,0.22,2.06,0,0.03,2.6,1.27,0.23,0,0,2.68,0.28,0.48,0.08,0.11,0.8,0.23,0.05,1.19
