"Countries ranked by Google searches for 'immigration' to them by each country, Sept 2014-Sept 2015",,,,,,,,,,,,,
,,,,,,,,,,,,,
country,UK rank,country,US rank,country,Canada rank,country,Germany rank,country,France rank,country,Italy rank,country,Japan rank
Sudan,62,Nepal,62,Tunisia,62,United Kingdom,62,Kenya,62,Armenia,62,Algeria,62
Tanzania,63,Pakistan,63,Ethiopia (Oromia),63,Nigeria,63,Ghana,63,Lebanon,63,South Africa,63
Benin,64,Nicaragua,64,India,64,Iceland,64,Sweden,64,Nepal,64,Serbia,64
China,65,Liechtenstein,65,Mauritania,65,Ireland,65,Armenia,65,Uruguay,65,Taiwan,65
Ethiopia (Oromia),66,Saint Kitts and Nevis,66,Uganda,66,Israel (Southern District),66,Uruguay,66,Syria,66,Egypt,66
Guam,67,Guinea,67,Liberia,67,Tanzania,67,Norway,67,Martinique,67,Chile,67
New Caledonia,68,Cape Verde,68,Saudi Arabia,68,Belarus,68,Kuwait (Al Jahra),68,South Africa,68,Israel (Southern District),68
Algeria,69,United Arab Emirates (Abu Dhabi),69,Morocco,69,Latvia,69,Ethiopia (Oromia),69,Kyrgyzstan,69,France,69
Burkina Faso,70,Nigeria,70,Singapore,70,Canada,70,Portugal,70,Uganda,70,India,70
Canada,71,Uganda,71,Brunei Darussalam (Sarawak),71,Zimbabwe,71,Trinidad and Tobago,71,Macau,71,Nigeria,71
Mongolia,72,Monaco,72,Albania,72,Singapore,72,Germany,72,Jamaica,72,Croatia,72
Macau,73,Seychelles,73,Mali,73,Czech Republic,73,Nigeria,73,United Arab Emirates (Abu Dhabi),73,Mexico,73
Latvia,74,Senegal,74,Kenya,74,Montenegro,74,Spain,74,Bahrain,74,Russia,74
Morocco,75,Kenya,75,Sierra Leone (Northern Province),75,Myanmar (Burma),75,Paraguay,75,Cameroon,75,Peru,75
Bahrain,76,Qatar (Al Rayyan),76,Mongolia,76,Azerbaijan,76,Uganda,76,Slovakia,76,Germany,76
Uzbekistan,77,Saint Helena,77,El Salvador,77,United States,77,Estonia,77,Kuwait (Al Jahra),77,Uruguay,77
Cameroon,78,French Polynesia,78,Madagascar,78,Mozambique,78,Jamaica,78,Algeria,78,Austria,78
Tunisia,79,Rwanda,79,Niger (Agadez),79,Norway,79,Bahrain,79,Dominican Republic,79,Iraq,79
Saudi Arabia,80,Gabon,80,South Africa,80,Mauritius,80,Australia,80,Saint Helena,80,Slovenia,80
The Bahamas,81,Burkina Faso,81,Syria,81,New Zealand,81,United States,81,Norway,81,Ukraine,81
Tajikistan (Gorno-Badakhshan Autonomous Province),82,Côte d'Ivoire,82,China,82,Lithuania,82,Greece,82,Zimbabwe,82,Costa Rica,82
Namibia,83,Philippines,83,South Sudan,83,Australia,83,Georgia,83,Venezuela,83,Argentina,83
Germany,84,Gibraltar,84,Macedonia (FYROM),84,Netherlands,84,Uzbekistan,84,Paraguay,84,Spain,84
Luxembourg,85,Suriname (Sipaliwini),85,Papua New Guinea,85,China,85,Pakistan,85,Kenya,85,Dominican Republic,85
India,86,Kuwait (Al Jahra),86,Sudan,86,Hungary,86,Argentina,86,Moldova,86,Ecuador,86
Sweden,87,Democratic Republic of the Congo,87,Zambia,87,Slovakia,87,Denmark,87,El Salvador,87,Denmark,87
Philippines,88,Andorra,88,Armenia,88,Italy,88,Panama,88,Sweden,88,Lithuania,88
Lithuania,89,Mali,89,Malawi,89,Chile,89,Austria,89,Spain,89,Jordan,89
Austria,90,Somalia,90,Bosnia and Herzegovina (BA-SRP),90,Russia,90,Russia,90,Hungary,90,Belgium (Walloon Region),90
Belgium (Walloon Region),91,Norway,91,Libya,91,Denmark,91,Poland,91,Slovenia,91,Italy,91
Estonia,92,Canada,92,Aruba,92,France,92,Dominican Republic,92,Portugal,92,Netherlands,92
Malaysia,93,Albania,93,Ukraine,93,Sri Lanka,93,Colombia,93,Cyprus,93,Colombia,93
Egypt,94,Burundi,94,Tajikistan (Gorno-Badakhshan Autonomous Province),94,Hong Kong,94,Honduras,94,Austria,94,Kazakhstan,94
Greece,95,Morocco,95,Serbia,95,Spain,95,Chile,95,Brazil,95,Bulgaria,95
Jordan,96,Uruguay,96,New Caledonia,96,Egypt,96,Lithuania,96,Latvia,96,Bolivia,96
Portugal,97,Mexico,97,Angola,97,Kazakhstan,97,Kazakhstan,97,Oman,97,Poland,97
Switzerland,98,Panama,98,Honduras,98,Trinidad and Tobago,98,Hungary,98,Sri Lanka,98,Saudi Arabia,98
Iraq,99,Bahrain,99,Hong Kong,99,Kyrgyzstan,99,Finland,99,Belarus,99,Venezuela,99
Madagascar,100,Tunisia,100,Dominican Republic,100,India,100,Jordan,100,Peru,100,Romania,100
Zambia,101,Kosovo,101,Colombia,101,Argentina,101,Ukraine,101,Tanzania,101,Portugal,101
Reunion,102,Ecuador,102,Maldives,102,Malaysia,102,Oman,102,Netherlands,102,Hungary,102
Czech Republic,103,Zimbabwe,103,New Zealand,103,Bulgaria,103,Romania,103,Denmark,103,Greece,103
Moldova,104,Botswana,104,Moldova,104,Serbia,104,Sri Lanka,104,Costa Rica,104,Turkey,104
Cambodia,105,New Zealand,105,Brazil,105,Belgium (Walloon Region),105,Netherlands,105,Hong Kong,105,,
Finland,106,Timor-Leste,106,Uzbekistan,106,Reunion,106,Hong Kong,106,Israel (Southern District),106,,
Syria,107,Denmark,107,Jordan,107,Costa Rica,107,Sudan,107,Germany,107,,
Democratic Republic of the Congo,108,Singapore,108,Palestine,108,Philippines,108,Saudi Arabia,108,Finland,108,,
Honduras,109,Cambodia,109,French Polynesia,109,Portugal,109,Costa Rica,109,Ecuador,109,,
Kyrgyzstan,110,Jordan,110,Egypt,110,Venezuela,110,Bulgaria,110,Ukraine,110,,
Kosovo,111,Myanmar (Burma),111,Kyrgyzstan,111,Yemen,111,Mexico,111,Lithuania,111,,
Lebanon,112,Zambia,112,Israel (Southern District),112,Poland,112,Brazil,112,Chile,112,,
Iceland,113,Moldova,113,Jersey,113,Colombia,113,Venezuela,113,Croatia,113,,
France,114,Venezuela,114,Yemen,114,Cyprus,114,Czech Republic,114,Jordan,114,,
Netherlands,115,South Sudan,115,Greece,115,Romania,115,Serbia,115,Reunion,115,,
Hungary,116,South Africa,116,Azerbaijan,116,Peru,116,Israel (Southern District),116,Singapore,116,,
United States,117,Costa Rica,117,Ireland,117,Brazil,117,Qatar (Al Rayyan),117,Colombia,117,,
Ukraine,118,Guadeloupe,118,Australia,118,Croatia,118,Iraq,118,Serbia,118,,
Spain,119,Armenia,119,Nicaragua,119,Sudan,119,Latvia,119,Honduras,119,,
Nicaragua,120,Algeria,120,Iraq,120,Finland,120,Egypt,120,Kazakhstan,120,,
Belarus,121,Madagascar,121,United Kingdom,121,Uruguay,121,India,121,Poland,121,,
Poland,122,India,122,Costa Rica,122,Iraq,122,South Korea,122,Bulgaria,122,,
Montenegro,123,Mauritius,123,Turkmenistan,123,Slovenia,123,Belarus,123,Russia,123,,
Palestine,124,Sudan,124,Venezuela,124,Mexico,124,Vietnam,124,Saudi Arabia,124,,
Bulgaria,125,Brunei Darussalam (Sarawak),125,Bolivia,125,Guatemala,125,Philippines,125,Panama,125,,
Myanmar (Burma),126,Laos,126,Burkina Faso,126,Estonia,126,Azerbaijan,126,Puerto Rico,126,,
South Korea,127,Guernsey,127,Cambodia,127,Georgia,127,Slovenia,127,Mexico,127,,
Italy,128,Colombia,128,United States,128,Panama,128,Indonesia,128,India,128,,
Thailand,129,Ireland,129,Suriname (Sipaliwini),129,South Korea,129,Malaysia,129,Egypt,129,,
Georgia,130,Reunion,130,Malta,130,Indonesia,130,Bolivia,130,Malaysia,130,,
Angola,131,Hong Kong,131,Tanzania,131,Thailand,131,Turkey,131,Philippines,131,,
Slovenia,132,Oman,132,Malaysia,132,Dominican Republic,132,Taiwan,132,Azerbaijan,132,,
Romania,133,Angola,133,South Korea,133,Vietnam,133,Thailand,133,Iraq,133,,
Israel (Southern District),134,Turkmenistan,134,Belarus,134,Ecuador,134,Croatia,134,Guatemala,134,,
Armenia,135,Macedonia (FYROM),135,Namibia,135,Turkey,135,Slovakia,135,South Korea,135,,
Senegal,136,Mauritania,136,Norway,136,Bolivia,136,South Africa,136,Taiwan,136,,
Dominican Republic,137,United Kingdom,137,Guatemala,137,Taiwan,137,Peru,137,Romania,137,,
Azerbaijan,138,Kyrgyzstan,138,Cyprus,138,Japan,138,Ecuador,138,Indonesia,138,,
Croatia,139,Yemen,139,Kazakhstan,139,,,Japan,139,Thailand,139,,
Slovakia,140,Sri Lanka,140,Romania,140,,,,140,Bolivia,140,,
Serbia,141,Germany,141,Mozambique,141,,,,141,Vietnam,141,,
Côte d'Ivoire,142,Saudi Arabia,142,Belgium (Walloon Region),142,,,,142,Turkey,142,,
Chile,143,Sweden,143,Finland,143,,,,143,Japan,143,,
Russia,144,Luxembourg,144,Latvia,144,,,,,,,,
Kazakhstan,145,Iceland,145,Germany,145,,,,,,,,
Iran,146,Australia,146,Puerto Rico,146,,,,,,,,
Colombia,147,Macau,147,Netherlands,147,,,,,,,,
Bolivia,148,Malawi,148,Austria,148,,,,,,,,
Macedonia (FYROM),149,Tanzania,149,Bulgaria,149,,,,,,,,
Yemen,150,Brazil,150,Croatia,150,,,,,,,,
Venezuela,151,France,151,Estonia,151,,,,,,,,
Bosnia and Herzegovina (BA-SRP),152,French Guiana,152,Sweden,152,,,,,,,,
Turkey,153,Palestine,153,France,153,,,,,,,,
Ecuador,154,Peru,154,Panama,154,,,,,,,,
Vietnam,155,Switzerland,155,Switzerland,155,,,,,,,,
Paraguay,156,Egypt,156,Chile,156,,,,,,,,
Costa Rica,157,Italy,157,Russia,157,,,,,,,,
Argentina,158,Cyprus,158,Laos,158,,,,,,,,
El Salvador,159,Jersey,159,Georgia,159,,,,,,,,
Brazil,160,Ukraine,160,Turkey,160,,,,,,,,
Panama,161,Israel (Southern District),161,Mexico,161,,,,,,,,
Peru,162,Argentina,162,Lithuania,162,,,,,,,,
Mexico,163,China,163,Luxembourg,163,,,,,,,,
Japan,164,Paraguay,164,Slovenia,164,,,,,,,,
Indonesia,165,Georgia,165,Czech Republic,165,,,,,,,,
Taiwan,166,Martinique,166,Macau,166,,,,,,,,
Uruguay,167,Libya,167,Uruguay,167,,,,,,,,
,,Mongolia,168,Guadeloupe,168,,,,,,,,
,,Uzbekistan,169,Portugal,169,,,,,,,,
,,Chile,170,Iceland,170,,,,,,,,
,,Iraq,171,Denmark,171,,,,,,,,
,,Czech Republic,172,Hungary,172,,,,,,,,
,,Austria,173,Peru,173,,,,,,,,
,,Belarus,174,Ecuador,174,,,,,,,,
,,South Korea,175,Vietnam,175,,,,,,,,
,,Azerbaijan,176,Italy,176,,,,,,,,
,,Montenegro,177,Argentina,177,,,,,,,,
,,Bolivia,178,Slovakia,178,,,,,,,,
,,Maldives,179,Spain,179,,,,,,,,
,,Kazakhstan,180,Poland,180,,,,,,,,
,,Netherlands,181,Thailand,181,,,,,,,,
,,Bosnia and Herzegovina (BA-SRP),182,Reunion,182,,,,,,,,
,,Syria,183,Taiwan,183,,,,,,,,
,,Malta,184,Indonesia,184,,,,,,,,
,,Belgium (Walloon Region),185,Japan,185,,,,,,,,
,,Greece,186,,,,,,,,,,
,,Spain,187,,,,,,,,,,
,,Malaysia,188,,,,,,,,,,
,,Russia,189,,,,,,,,,,
,,Tajikistan (Gorno-Badakhshan Autonomous Province),190,,,,,,,,,,
,,Namibia,191,,,,,,,,,,
,,Finland,192,,,,,,,,,,
,,Hungary,193,,,,,,,,,,
,,Estonia,194,,,,,,,,,,
,,Romania,195,,,,,,,,,,
,,Vietnam,196,,,,,,,,,,
,,Portugal,197,,,,,,,,,,
,,Serbia,198,,,,,,,,,,
,,Latvia,199,,,,,,,,,,
,,Bulgaria,200,,,,,,,,,,
,,Lithuania,201,,,,,,,,,,
,,Slovakia,202,,,,,,,,,,
,,Thailand,203,,,,,,,,,,
,,Croatia,204,,,,,,,,,,
,,Poland,205,,,,,,,,,,
,,Taiwan,206,,,,,,,,,,
,,Mozambique,207,,,,,,,,,,
,,Indonesia,208,,,,,,,,,,
,,Slovenia,209,,,,,,,,,,
,,Turkey,210,,,,,,,,,,
,,Japan,211,,,,,,,,,,
