District,Code,State,FIRST,SECOND,THIRD,FOURTH,FIFTH,SIXTH,SEVENTH,EIGHTH,NINTH,TENTH,2003 Invasion of Iraq,Abortion,Abortion-rights movement,Affirmative action,Agricultural subsidies,Aid,Alternative energy,Anti-abortion movements,Basic income,Body worn video,Campaign finance,Campus sexual assault,Capital gains tax,Capital punishment,Charter schools,Chelsea Manning,Climate change,Common core,Confederate states,Corporate tax,DACA,Dakota Access pipeline,Dream act,Drug policy,Drug testing welfare recipients,Economic stimulus,Edward Snowden,Electoral college,Electoral fraud,Electronic Classroom of Tomorrow,Eminent domain,Equal pay for equal work,Estate tax in the United States,Euthanasia,Executive Order 13769,Federal reserve system,First amendment,Flag desecration,Flags of the confederate states,Free trade,Freedom of religion,Gender identity,Gender workplace diversity,Genetically modified organism,Gerrymandering,Global warming,Government spending,Gun control,Health care,Hydraulic fracturing,Immigration,Immigration to the United States,Income tax,Iraq War,ISIS,Islam,Israel boycott,Joint Comprehensive Plan of Action (Iran Deal),Labor Unions in the United States,Legal history of cannabis in the United States,Legality of cannabis,LGBT adoption rights,LGBT rights,Lobbying,Lockheed Martin F-35,Maternity leave in the United States,Medicaid,Medicare,Mental health,Mexico-United States barrier,Military budget,Military service,Minimum wage,NAFTA,National Debt of the United States,National security,National Security Agency,NATO,Net neutrality,No fly list,North Korea and weapons of mass destruction,Nuclear power,Obamacare,Offshore bank,Offshore drilling,Overtime pay,Paris Agreement,Patriot act,Pensions,Planned Parenthood,Political corruption,Prescription costs,PRISM,Prison overcrowding,Private Prisons,Property taxes,Public transportation,Right to work,Russian interference in the 2016 United States elections,Russian military action in Syria,Safe spaces,Same-sex marriage,Sanctuary cities,September 11 attacks,Sick leave,Single-payer healthcare,Social programs in the United States,Social security,Solitary confinement,Space exploration,Student loans in the United States,Syrian civil war,Tariff,Tax Cuts and Jobs Act of 2017,Term limits in the United States,Terrorism,Torture,TPP,Transgender people in the military,U.S. national anthem protests,United Nations,Vaccine controversies,Voter turnout,Voting age,War in Afghanistan,Welfare,Whistleblower,Women in combat,Women's health
Arkansas 3rd,AR-03,AR,Health care,Medicare,Medicaid,Immigration,Social security,Property taxes,Minimum wage,Mental health,Abortion,Income tax,0.23,4.93,0.18,0.39,0,1.36,0,0.47,0.01,0.03,0.38,0.08,0.5,1.57,0.91,0.27,1.63,1.2,1.19,0.35,0.75,0,0.14,0.05,0.13,0.1,0.21,0.8,0.33,0,0.21,0.15,0.16,0.28,0.05,2.32,0.6,0,0.9,0.04,0.12,0.14,0,0.74,0.34,1.77,0.54,0.7,12.67,0.28,8.29,0.29,3.38,0.2,0.91,2.99,0,0,0.02,0,1.21,0.01,0.04,0.6,0.3,0,8.7,11.69,5.04,0.25,0.14,0.35,5.53,0.38,1.64,0.22,0.21,0.65,1.09,0.03,0,1.33,1.86,0,0.13,0.81,0.01,0.5,1.32,1.61,0.65,0.02,0,0,0.51,6.86,0.72,0.05,0.01,0,0.16,0.63,0.15,3.1,0.26,0,0.41,7.39,0.03,0.15,0.13,0.24,3,0,0.3,1.61,1.33,0.06,0,0,2.97,0.26,0.29,0.02,0.09,0.23,0.09,0,0.54
Arkansas 4th,AR-04,AR,Immigration,Mental health,Social security,Medicare,Health care,Medicaid,Torture,Property taxes,Minimum wage,Abortion,2.3,4.39,0.5,0.35,0,1.26,0,0,0,0,0.12,0,0.12,1.51,0,0,0.41,0.56,2.68,0.15,0.88,0,0,0,0,0,0.14,0,0.29,0,0.32,0.31,0,0.56,0.14,0.53,0,0,0.52,0,0.12,0,0,0.42,0.26,1.01,0.37,0.72,7.45,0.26,21.03,0.73,2.41,0.3,2.05,1.81,0,0,0,0,2.58,0,0.3,0.67,0.29,0,7.18,10.09,11.78,0,0.53,0.14,5.14,0,1.16,0.15,0,1.31,0.41,0,0,4.23,1.56,0,0,0.59,0,0,2.26,0.43,0.12,0,0,0,0,5.78,0.85,0,0.15,0,0,0.74,0,2.2,0.35,0,0.14,10.63,0,0,0.3,0.15,0.85,0,0.57,2.64,6.13,0,0,0,0.55,0.26,0.14,0,0,0,0.13,0,0
Arizona 1st,AZ-01,AZ,Medicare,Health care,Immigration,Social security,Obamacare,Mental health,Abortion,Legality of cannabis,Minimum wage,Property taxes,0.7,4.81,0.19,0.36,0,1.52,0.04,0.11,0,0.07,0.34,0,0.46,1.58,1.04,0.07,1.69,0.99,1.81,0.08,0.39,0.04,0,0,0,0.04,0.15,0.45,1.15,0,0.11,0,0.67,1.32,0.08,0.87,1.82,0.07,0.81,0.04,0.04,1.43,0,0.51,1.26,2.66,0.25,0.3,17.14,0.66,12.21,0.3,3.26,0.29,1.09,2.02,0,0,0,0,4.06,0,0.07,0.04,0.18,0,1.93,24.83,5.09,0.07,0.15,0.15,3.77,0.19,1.7,0.12,0.34,0.63,0.15,0,0,1.06,5.24,0,0,0.29,0.8,0.04,3.28,2.68,0.29,0,0,0,0.04,3.57,0.38,0.07,0,0,0,0.62,0.85,2.99,1.09,0,0.15,8.49,0.15,0.22,0,0.23,1.11,0,0,1.68,0.83,0.04,0,0.04,2.09,0.08,0.33,0.19,0.15,0.07,0.12,0,0.37
Arizona 2nd,AZ-02,AZ,Health care,Medicare,Immigration,Social security,Mental health,Minimum wage,Abortion,September 11 attacks,Property taxes,Islam,0.09,4.45,0.14,0.57,0,1.22,0.04,0.23,0.01,0.58,0.31,0.07,0.81,2.35,1.54,0.35,3.39,1.9,1.89,0.12,0.68,0.01,0.07,0.07,0,0.01,0.3,1.16,0.65,0,0.07,0.09,0.17,1.18,0.08,1.69,0.74,0.02,0.37,0.15,0.2,0.17,0,2.15,0.88,1.83,0.41,0.65,14.93,0.38,12.57,0.42,3.05,0.44,1.8,3.54,0,0.05,0.01,0,1.9,0,0.02,0.22,0.62,0,2.7,14.45,7.28,0.26,0.44,0.58,5.38,0.33,1.64,0.32,1.25,1.29,0.29,0,0,2.24,2.21,0.1,0.04,0.4,0.26,0.14,2.45,2.67,0.24,0.06,0.07,0.02,0.03,3.58,1.09,0.06,0,0,0,1.03,0.51,3.92,1.33,0,0.39,7.29,0.01,0.32,0.07,0.19,1.67,0,0.13,3.51,1.28,0.11,0,0,2.61,0.07,0.61,0.35,0.16,0.27,0.28,0,0.6
Arizona 3rd,AZ-03,AZ,Immigration,Health care,Mental health,Medicare,Social security,Abortion,Minimum wage,Tariff,Federal reserve system,September 11 attacks,0.37,5.47,0.21,0.38,0,1.87,0.02,0.16,0,0.09,0,0,0.26,1.95,1.01,0.07,3.82,2.59,2.18,0.11,0.84,0,0.29,0.13,0,0,0.28,1.74,0.27,0,0.02,0.27,0.42,0.69,0.07,4.51,1.47,0,0.47,0.52,0.45,0,0,0.79,0.58,1.43,1.26,0.21,11.23,0.36,17.1,0.22,2.4,0.38,0.87,2.28,0,0,0.02,0,2.57,0.08,0,0.48,0.64,0,1.4,8.38,9.06,0.59,0.43,0.48,5.34,1.11,1.07,0.22,0.82,0.47,0.09,0,0,2.18,1.35,0.02,0,0.38,0,0.02,1.73,1.3,0.51,0.23,0,0,0.23,1.95,0.75,0,0.07,0,0.07,0.59,0.18,4.27,0.39,0,0.17,5.77,0,0.09,0.21,0.24,5.07,0,0.02,3.09,1.24,0.07,0,0,2.69,0.05,0.12,0.8,0.44,0.3,0.79,0,1.84
Arizona 4th,AZ-04,AZ,Medicare,Health care,Immigration,Social security,Minimum wage,Mental health,Abortion,Women's health,Property taxes,September 11 attacks,0.12,4.72,0.25,0.66,0.04,0.75,0.08,0.3,0.06,0.26,0.26,0,0.87,2.06,1.89,0.04,1.85,2.34,1.54,0.1,0.66,0.05,0.15,0.15,0,0,0.33,2.03,0.36,0,0.06,0.12,0.2,0.72,0.04,1.27,1.08,0.1,0.1,0.18,0.11,0.21,0,0.8,0.34,1.25,0.63,0.81,13.33,0.29,10.39,0.25,2.9,0.37,2.34,2.41,0,0,0,0,1.38,0.03,0,0.55,1.49,0,2.79,16.19,6.04,0.22,0.1,0.48,6.41,0.37,1.78,0.04,0.74,0.78,0.14,0,0,1.78,1.19,0.03,0.08,0.38,0.21,0.17,2.4,1.43,0.22,0,0,0,0.15,3.27,0.57,0.08,0,0,0.09,0.55,0.35,3.18,0.71,0,0.25,8.58,0,0.31,0.2,0.03,1.42,0,0,1.81,1.69,0.07,0,0,2.28,0.08,0.37,0.09,0.24,0.25,0.34,0,3.86
Arizona 5th,AZ-05,AZ,Health care,Medicare,Immigration,Social security,Mental health,Minimum wage,Abortion,Charter schools,United Nations,Property taxes,0.1,4.03,0.18,0.55,0,0.62,0.06,0.35,0,0.19,0.28,0,0.43,1.81,3.35,0.04,1.76,1.93,2.17,0.18,0.87,0.06,0.17,0.03,0,0.06,0.14,1.19,0.3,0,0.07,0.02,0.22,0.71,0.11,1.81,0.59,0.01,0.42,0.11,0.16,0.09,0,0.57,0.56,1.24,0.37,0.55,13.99,0.22,8.83,0.15,2.31,0.34,0.82,2.47,0,0,0,0,1.5,0,0.07,0.33,0.46,0,1.73,11.22,5.16,0.22,0.41,0.35,4.83,0.22,1.65,0.13,0.41,0.74,0.17,0.01,0,1.64,2.26,0.05,0.13,0.52,0.3,0.15,2.32,1.86,0.41,0,0,0.02,0.08,2.69,0.75,0.21,0,0.02,0.07,0.95,0.37,2.62,0.89,0,0.26,6.59,0.08,0.23,0.07,0.4,1.03,0,0.01,1.72,0.87,0.12,0,0,3.17,0.11,0.26,0.02,0.19,0.1,0.14,0.01,0.22
Arizona 6th,AZ-06,AZ,Medicare,Health care,Medicaid,Immigration,Social security,Mental health,Property taxes,Minimum wage,Abortion,Income tax,0.03,3.25,0.23,0.39,0,0.58,0.11,0.31,0.05,0.45,0.34,0.04,1.19,1.25,1.73,0.07,1.7,0.77,0.8,0.46,0.6,0.03,0.02,0.04,0,0.02,0.29,0.73,0.31,0,0.05,0.09,0.37,0.48,0.09,2.35,0.49,0.02,0.21,0.12,0.14,0.05,0,0.75,0.45,1.29,0.22,0.35,22.18,0.49,8.69,0.11,2.93,0.38,1.14,1.99,0.02,0.03,0.05,0,1.93,0,0.03,0.48,0.53,0,9.46,23.49,5.73,0.09,0.18,0.26,3.71,0.28,1.28,0.11,0.56,0.69,0.3,0.02,0,1.22,2.91,0.05,0.07,0.83,0.09,0.14,2.55,1.91,0.07,0.05,0.07,0,0.08,4.5,0.69,0.1,0,0,0,0.41,0.36,2.33,1.19,0,0.33,7.55,0.07,0.17,0.19,0.05,1.88,0,0.03,1.52,0.86,0.04,0,0.02,1.4,0.13,0.19,0.05,0.1,0.14,0.31,0,1.1
Arizona 7th,AZ-07,AZ,Health care,Medicare,Immigration,Mental health,Social security,Minimum wage,Abortion,September 11 attacks,Planned Parenthood,Medicaid,0.05,4.75,0.14,0.32,0.03,0.98,0.15,0.33,0.03,0.21,0.27,0.01,0.6,2.12,2.45,0.06,1.54,1.76,1.63,0.19,2.44,0.02,0.19,0.06,0,0,0.38,1.4,0.35,0.01,0.09,0.11,0.2,1.07,0.06,1.11,0.94,0.01,0.36,0.15,0.32,0.15,0,1.59,0.52,1.21,0.21,0.9,14.62,0.32,10.42,0.19,1.98,0.24,1.16,2.52,0.01,0.01,0.01,0,2.01,0.01,0.02,0.46,1.04,0,2.69,10.45,6.7,0.21,0.15,0.44,5.46,0.16,0.87,0.13,0.5,0.61,0.29,0.06,0,1.51,1.75,0.03,0.06,0.68,0.14,0.12,1.69,2.94,0.16,0.02,0.01,0.01,0.07,2.27,0.97,0.13,0.01,0,0.08,0.75,0.3,2.95,1,0,0.29,6.29,0.08,0.11,0.1,0.15,1.3,0,0.04,1.83,1.52,0.09,0,0,1.53,0.14,0.19,0.12,0.09,0.27,0.25,0,0.64
Arizona 8th,AZ-08,AZ,Medicare,Health care,Social security,Immigration,Mental health,Abortion,September 11 attacks,Medicaid,Minimum wage,Property taxes,0.2,5.43,0.15,0.18,0,1.77,0,0.96,0.11,0.09,0.53,0,1.26,1.6,1.77,0.09,0.49,0.92,1.33,0.29,0.73,0,0.09,0.07,0,0,0.15,0.51,0.76,0,0.07,0.09,0.53,1.04,0.21,1.07,0.61,0,0.23,0.04,0.02,0.07,0,0.76,0.31,0.63,0.37,0.38,13.42,0.38,9.27,0.07,2.58,0.18,1.05,2.04,0,0,0.07,0,2.11,0,0.07,0.15,0.89,0,4.39,22.13,6.85,0.32,0.02,0.24,4.17,0.11,2.17,0.24,0.45,0.22,0.28,0,0,1.67,3.32,0.02,0.02,0.26,0.02,0.04,3.28,1.97,0.26,0.02,0,0.19,0,3.55,0.2,0,0.02,0.54,0.05,0.55,0.81,4.53,0.74,0,0.5,11.78,0.07,0.58,0.16,0.02,0.59,0,0.07,1.48,1,0.07,0,0,0.64,0.16,0.38,0.19,0,0.06,0.07,0.19,0.09
Arizona 9th,AZ-09,AZ,Health care,Medicare,Immigration,Mental health,Social security,Minimum wage,Abortion,Medicaid,Islam,Property taxes,0.05,4.21,0.29,0.67,0.01,1.13,0.05,0.47,0.09,0.23,0.24,0.03,0.59,2.07,1.89,0.09,2.2,1.56,1.23,0.29,1.1,0.03,0.12,0.09,0.02,0.02,0.38,1.01,0.38,0,0.21,0.27,0.2,1.16,0.11,1.36,0.62,0.04,0.34,0.18,0.28,0.13,0,1.1,0.54,1.48,0.38,0.55,18.91,0.43,9.63,0.27,2.2,0.34,1.38,3.35,0.01,0.01,0.02,0.01,1.91,0.01,0.03,0.84,0.59,0,3.44,11.37,7.09,0.12,0.26,0.35,5.15,0.36,1.13,0.18,0.56,0.72,0.24,0.03,0,1.67,2.11,0.03,0.07,0.58,0.21,0.2,1.89,2.49,0.3,0.03,0.01,0.03,0.1,3.05,0.83,0.2,0,0,0.12,0.53,0.3,2.64,1,0,0.37,6.19,0.06,0.29,0.17,0.14,1.76,0,0.03,1.97,1.32,0.09,0,0,2.84,0.11,0.28,0.1,0.12,0.27,0.58,0.05,0.85
California 1st,CA-01,CA,Immigration,Health care,Medicare,Mental health,Minimum wage,Social security,September 11 attacks,Islam,Property taxes,Planned Parenthood,0.81,4.11,0.06,0.78,0,2.22,0.16,0.33,0,0.2,0.07,0,0.13,0.91,1.63,0,1.67,1.39,1.56,0.21,1.42,0,0,0.2,0,0,0.06,0.9,0.91,0,0.06,0,0.06,2.19,0.35,0.27,0.83,0,0.89,0,0.12,0.38,0,0.81,0.25,1.96,0,0.7,13.24,0.06,14.42,0.72,3.36,0.06,0.86,5.94,0,0,0.06,0,0.9,0,0,0.5,0.64,0,2.41,10.32,8.64,0.06,0,0.28,8.05,0.3,1.01,0.37,0.47,0.2,0.2,0,0,0.93,1.59,0,0,0.66,0,0.19,2.24,4.19,0,0,0,0,0.06,4.19,1.43,0.06,0,0,0,0.91,0.13,6.19,1.35,0,0.96,7.66,0.15,0,0.15,0,0.4,0,0,1.29,0.66,0.06,0,0,1.45,0,0.14,0,0.06,0.54,0.27,0,0.64
