Search interest in same sex marriage by city on 6/26,,,,
"All values indexed to 100, where 100 is the max search interest",,,,
City,State,Country,Indexed Search Interest,Time in EST
Chicago,Illinois,United States,0.1,8:05 AM
New York,New York,United States,0.1,8:05 AM
Dallas,Texas,United States,0.1,8:05 AM
Sheridan,Oregon,United States,0.1,8:05 AM
Miramar Beach,Florida,United States,100.0,8:06 AM
Hernando,Mississippi,United States,33.3,8:06 AM
Waterford,Virginia,United States,33.3,8:06 AM
Bethel Park,Pennsylvania,United States,12.5,8:06 AM
Mount Lebanon,Pennsylvania,United States,10.0,8:06 AM
West Islip,New York,United States,7.7,8:06 AM
Denton,Texas,United States,6.3,8:06 AM
Woodlake,Virginia,United States,5.6,8:06 AM
Duluth,Minnesota,United States,4.2,8:06 AM
Gaithersburg,Maryland,United States,4.2,8:06 AM
Morgantown,West Virginia,United States,3.6,8:06 AM
Pinellas Park,Florida,United States,3.3,8:06 AM
North Bethesda,Maryland,United States,3.2,8:06 AM
Lincoln,Nebraska,United States,2.2,8:06 AM
North Versailles,Pennsylvania,United States,1.9,8:06 AM
Colorado Springs,Colorado,United States,1.7,8:06 AM
Hyattsville,Maryland,United States,0.9,8:06 AM
Rochester,New York,United States,0.8,8:06 AM
Omaha,Nebraska,United States,0.6,8:06 AM
Columbus,Ohio,United States,0.6,8:06 AM
Dallas,Texas,United States,0.4,8:06 AM
Charlotte,North Carolina,United States,0.3,8:06 AM
Chicago,Illinois,United States,0.1,8:06 AM
Sheridan,Oregon,United States,0.1,8:06 AM
Houston,Texas,United States,0.1,8:06 AM
Atlanta,Georgia,United States,0.1,8:06 AM
Washington,District of Columbia,United States,0.1,8:06 AM
New York,New York,United States,0.0,8:06 AM
La Mirada,California,United States,50.0,8:07 AM
Scottdale,Georgia,United States,33.3,8:07 AM
Joliet,Illinois,United States,20.0,8:07 AM
Fairmont,West Virginia,United States,16.7,8:07 AM
Pataskala,Ohio,United States,16.7,8:07 AM
Millville,Ohio,United States,14.3,8:07 AM
Land O' Lakes,Florida,United States,12.5,8:07 AM
Park Hills,Kentucky,United States,11.1,8:07 AM
Wesley Chapel South,Florida,United States,10.0,8:07 AM
Odessa,Delaware,United States,6.7,8:07 AM
Parma,Ohio,United States,6.3,8:07 AM
Kirkland,Washington,United States,5.9,8:07 AM
Miamisburg,Ohio,United States,5.6,8:07 AM
Carmel,Indiana,United States,2.5,8:07 AM
Duluth,Georgia,United States,2.3,8:07 AM
King of Prussia,Pennsylvania,United States,1.9,8:07 AM
Mountain View,California,United States,1.9,8:07 AM
Paradise,Nevada,United States,1.6,8:07 AM
Providence,Rhode Island,United States,1.3,8:07 AM
Jersey City,New Jersey,United States,1.2,8:07 AM
Albany,New York,United States,1.1,8:07 AM
Columbus,Ohio,United States,1.0,8:07 AM
Omaha,Nebraska,United States,0.7,8:07 AM
Raleigh,North Carolina,United States,0.5,8:07 AM
Indianapolis,Indiana,United States,0.3,8:07 AM
Nashville,Tennessee,United States,0.3,8:07 AM
Boston,Massachusetts,United States,0.2,8:07 AM
Dallas,Texas,United States,0.1,8:07 AM
Houston,Texas,United States,0.1,8:07 AM
Washington,District of Columbia,United States,0.1,8:07 AM
Chicago,Illinois,United States,0.1,8:07 AM
Sheridan,Oregon,United States,0.1,8:07 AM
New York,New York,United States,0.0,8:07 AM
Flat Rock,Michigan,United States,33.3,8:08 AM
Willow Springs,Illinois,United States,25.0,8:08 AM
Winchester,Massachusetts,United States,12.5,8:08 AM
Gary,Indiana,United States,10.0,8:08 AM
Cranford,New Jersey,United States,9.1,8:08 AM
Upper Arlington,Ohio,United States,9.1,8:08 AM
New London,Connecticut,United States,8.3,8:08 AM
Mount Lebanon,Pennsylvania,United States,8.3,8:08 AM
Chandler,Arizona,United States,7.7,8:08 AM
Troy,New York,United States,5.9,8:08 AM
Concord,North Carolina,United States,3.0,8:08 AM
Lincoln,Nebraska,United States,2.0,8:08 AM
Hampton,Virginia,United States,1.7,8:08 AM
Wichita,Kansas,United States,1.3,8:08 AM
Grand Rapids,Michigan,United States,0.7,8:08 AM
Richmond,Virginia,United States,0.6,8:08 AM
Ann Arbor,Michigan,United States,0.6,8:08 AM
San Francisco,California,United States,0.3,8:08 AM
Nashville,Tennessee,United States,0.2,8:08 AM
San Antonio,Texas,United States,0.2,8:08 AM
Boston,Massachusetts,United States,0.2,8:08 AM
Los Angeles,California,United States,0.2,8:08 AM
Dallas,Texas,United States,0.1,8:08 AM
Houston,Texas,United States,0.1,8:08 AM
Chicago,Illinois,United States,0.1,8:08 AM
New York,New York,United States,0.0,8:08 AM
Pacifica,California,United States,100.0,8:09 AM
Woodstock,Georgia,United States,50.0,8:09 AM
El Dorado,Arkansas,United States,50.0,8:09 AM
Pflugerville,Texas,United States,50.0,8:09 AM
Muskegon Township,Michigan,United States,50.0,8:09 AM
Hillsmere Shores,Maryland,United States,33.3,8:09 AM
Killen,Alabama,United States,33.3,8:09 AM
Kings Point,Florida,United States,20.0,8:09 AM
Silver City,North Carolina,United States,20.0,8:09 AM
Milton,Massachusetts,United States,10.0,8:09 AM
Uniondale,New York,United States,9.1,8:09 AM
Flower Mound,Texas,United States,9.1,8:09 AM
Hayward,California,United States,8.3,8:09 AM
Hilton Head Island,South Carolina,United States,5.9,8:09 AM
Pompano Beach,Florida,United States,5.6,8:09 AM
Lewisville,Texas,United States,4.5,8:09 AM
Denton,Texas,United States,3.7,8:09 AM
Iowa City,Iowa,United States,3.6,8:09 AM
Kent Acres,Delaware,United States,3.4,8:09 AM
Naperville,Illinois,United States,2.8,8:09 AM
Tuckahoe,Virginia,United States,2.2,8:09 AM
Savannah,Georgia,United States,2.0,8:09 AM
South Brunswick Township,New Jersey,United States,1.2,8:09 AM
Leesburg,Virginia,United States,1.1,8:09 AM
Cambridge,Massachusetts,United States,0.9,8:09 AM
Cleveland,Ohio,United States,0.8,8:09 AM
Omaha,Nebraska,United States,0.6,8:09 AM
Pittsburgh,Pennsylvania,United States,0.5,8:09 AM
Tampa,Florida,United States,0.4,8:09 AM
Denver,Colorado,United States,0.3,8:09 AM
Chicago,Illinois,United States,0.2,8:09 AM
Atlanta,Georgia,United States,0.2,8:09 AM
New York,New York,United States,0.0,8:09 AM
Union,Ohio,United States,50.0,8:10 AM
Mendham,New Jersey,United States,33.3,8:10 AM
Jasper,Georgia,United States,25.0,8:10 AM
La Grange,Illinois,United States,25.0,8:10 AM
Lehigh Acres,Florida,United States,12.5,8:10 AM
Saint Clair Shores,Michigan,United States,11.1,8:10 AM
Rapid City,South Dakota,United States,10.0,8:10 AM
Easton,Maryland,United States,9.1,8:10 AM
Orland Park,Illinois,United States,8.3,8:10 AM
Edina,Minnesota,United States,8.3,8:10 AM
Ormond Beach,Florida,United States,7.1,8:10 AM
Elyria,Ohio,United States,6.7,8:10 AM
Worthington,Ohio,United States,4.5,8:10 AM
Fort Smith,Arkansas,United States,4.2,8:10 AM
Alexandria,Virginia,United States,1.7,8:10 AM
Albuquerque,New Mexico,United States,1.4,8:10 AM
Jersey City,New Jersey,United States,1.2,8:10 AM
St. Petersburg,Florida,United States,1.1,8:10 AM
Yonkers,New York,United States,1.1,8:10 AM
Pittsfield Charter Township,Michigan,United States,1.1,8:10 AM
Smyrna,Georgia,United States,0.9,8:10 AM
Cleveland,Ohio,United States,0.9,8:10 AM
Hyattsville,Maryland,United States,0.7,8:10 AM
Saint Paul,Minnesota,United States,0.7,8:10 AM
Birmingham,Alabama,United States,0.6,8:10 AM
Boston,Massachusetts,United States,0.6,8:10 AM
Raleigh,North Carolina,United States,0.5,8:10 AM
Austin,Texas,United States,0.4,8:10 AM
Denver,Colorado,United States,0.3,8:10 AM
Charlotte,North Carolina,United States,0.3,8:10 AM
Atlanta,Georgia,United States,0.3,8:10 AM
Myrtle Beach,South Carolina,United States,0.2,8:10 AM
Columbus,Ohio,United States,0.2,8:10 AM
Detroit,Michigan,United States,0.2,8:10 AM
Houston,Texas,United States,0.2,8:10 AM
Washington,District of Columbia,United States,0.1,8:10 AM
Chicago,Illinois,United States,0.1,8:10 AM
Sheridan,Oregon,United States,0.1,8:10 AM
New York,New York,United States,0.0,8:10 AM
Elko,Nevada,United States,50.0,8:11 AM
Bel Air,Maryland,United States,33.3,8:11 AM
Yakima,Washington,United States,33.3,8:11 AM
Smyrna,Tennessee,United States,16.7,8:11 AM
Blue Ridge,Georgia,United States,16.7,8:11 AM
Eatontown,New Jersey,United States,14.3,8:11 AM
South Jordan,Utah,United States,11.1,8:11 AM
Mamaroneck,New York,United States,8.3,8:11 AM
Mount Lebanon,Pennsylvania,United States,6.7,8:11 AM
Newport,Rhode Island,United States,6.3,8:11 AM
Allen,Texas,United States,6.3,8:11 AM
Holland,Michigan,United States,5.6,8:11 AM
Brentwood,Tennessee,United States,4.8,8:11 AM
Hanover,New Jersey,United States,4.5,8:11 AM
Lubbock,Texas,United States,2.9,8:11 AM
Cedar Rapids,Iowa,United States,2.9,8:11 AM
Shreveport,Louisiana,United States,2.4,8:11 AM
Albuquerque,New Mexico,United States,1.3,8:11 AM
Macon,Georgia,United States,1.3,8:11 AM
Knoxville,Tennessee,United States,1.3,8:11 AM
Hialeah,Florida,United States,1.0,8:11 AM
Quincy,Massachusetts,United States,0.5,8:11 AM
Raleigh,North Carolina,United States,0.5,8:11 AM
Dallas,Texas,United States,0.4,8:11 AM
Austin,Texas,United States,0.4,8:11 AM
Washington,District of Columbia,United States,0.3,8:11 AM
Nashville,Tennessee,United States,0.2,8:11 AM
Columbus,Ohio,United States,0.2,8:11 AM
Detroit,Michigan,United States,0.2,8:11 AM
Houston,Texas,United States,0.1,8:11 AM
Atlanta,Georgia,United States,0.1,8:11 AM
New York,New York,United States,0.0,8:11 AM
Mount Olive,Alabama,United States,100.0,8:12 AM
Laurel,Mississippi,United States,50.0,8:12 AM
Adrian,Michigan,United States,33.3,8:12 AM
Shelburne,Vermont,United States,25.0,8:12 AM
Mebane,North Carolina,United States,20.0,8:12 AM
Bettendorf,Iowa,United States,16.7,8:12 AM
Georgetown,Texas,United States,12.5,8:12 AM
Newport,Rhode Island,United States,10.0,8:12 AM
Willow Hill,Pennsylvania,United States,7.7,8:12 AM
Denton,Texas,United States,4.8,8:12 AM
Frankfort,Kentucky,United States,4.2,8:12 AM
Fairfax,Virginia,United States,4.0,8:12 AM
Tuttle,Oklahoma,United States,4.0,8:12 AM
Johnson City,Tennessee,United States,3.3,8:12 AM
Little Rock,Arkansas,United States,1.8,8:12 AM
Pontiac,Michigan,United States,1.8,8:12 AM
Wapwallopen,Pennsylvania,United States,1.7,8:12 AM
Toledo,Ohio,United States,1.0,8:12 AM
Hyattsville,Maryland,United States,0.8,8:12 AM
Birmingham,Alabama,United States,0.6,8:12 AM
Minneapolis,Minnesota,United States,0.4,8:12 AM
Indianapolis,Indiana,United States,0.3,8:12 AM
Myrtle Beach,South Carolina,United States,0.3,8:12 AM
Columbus,Ohio,United States,0.2,8:12 AM
New York,New York,United States,0.1,8:12 AM
Dallas,Texas,United States,0.1,8:12 AM
Houston,Texas,United States,0.1,8:12 AM
Atlanta,Georgia,United States,0.1,8:12 AM
Washington,District of Columbia,United States,0.1,8:12 AM
East Ridge,Tennessee,United States,100.0,8:13 AM
Bellevue,Kentucky,United States,20.0,8:13 AM
Springs,New York,United States,14.3,8:13 AM
Florence,Alabama,United States,9.1,8:13 AM
Muskegon,Michigan,United States,9.1,8:13 AM
Carrboro,North Carolina,United States,7.1,8:13 AM
Elkhart,Indiana,United States,5.3,8:13 AM
Pearland,Texas,United States,4.5,8:13 AM
Somerville,Massachusetts,United States,4.3,8:13 AM
Bentonville,Arkansas,United States,4.3,8:13 AM
Spring Hill,Tennessee,United States,3.6,8:13 AM
Iowa City,Iowa,United States,3.4,8:13 AM
Athens,Georgia,United States,2.6,8:13 AM
Arlington Heights,Illinois,United States,2.3,8:13 AM
Greenville,South Carolina,United States,1.8,8:13 AM
Baton Rouge,Louisiana,United States,1.7,8:13 AM
Warren,Michigan,United States,1.6,8:13 AM
Salt Lake City,Utah,United States,1.1,8:13 AM
Richmond,Virginia,United States,1.0,8:13 AM
Hyattsville,Maryland,United States,0.7,8:13 AM
San Diego,California,United States,0.6,8:13 AM
Fort Worth,Texas,United States,0.4,8:13 AM
Denver,Colorado,United States,0.3,8:13 AM
Houston,Texas,United States,0.2,8:13 AM
New York,New York,United States,0.1,8:13 AM
Atlanta,Georgia,United States,0.1,8:13 AM
Washington,District of Columbia,United States,0.1,8:13 AM
Lebanon,Tennessee,United States,100.0,8:14 AM
Columbus,North Carolina,United States,33.3,8:14 AM
Oakmont,Pennsylvania,United States,25.0,8:14 AM
Tillmans Corner,Alabama,United States,20.0,8:14 AM
Urbana,Ohio,United States,20.0,8:14 AM
South Cleveland,Tennessee,United States,20.0,8:14 AM
Arden-on-the-Severn,Maryland,United States,16.7,8:14 AM
Danville,Virginia,United States,16.7,8:14 AM
Waynesville,Ohio,United States,14.3,8:14 AM
York,Maine,United States,14.3,8:14 AM
Saddle Brook,New Jersey,United States,14.3,8:14 AM
Norristown,Pennsylvania,United States,9.1,8:14 AM
Hopewell Township,New Jersey,United States,8.3,8:14 AM
New Albany,Indiana,United States,8.3,8:14 AM
Kent,Ohio,United States,8.3,8:14 AM
Myakka City,Florida,United States,5.9,8:14 AM
College Station,Texas,United States,4.8,8:14 AM
Bentonville,Arkansas,United States,4.3,8:14 AM
Summerville,South Carolina,United States,4.0,8:14 AM
Westerville,Ohio,United States,3.7,8:14 AM
Nashua,New Hampshire,United States,2.9,8:14 AM
Golden Valley,Minnesota,United States,1.9,8:14 AM
St. Petersburg,Florida,United States,1.6,8:14 AM
East Syracuse,New York,United States,1.3,8:14 AM
Providence,Rhode Island,United States,1.3,8:14 AM
Arlington,Virginia,United States,0.9,8:14 AM
St. Louis,Missouri,United States,0.5,8:14 AM
Washington,District of Columbia,United States,0.4,8:14 AM
Nashville,Tennessee,United States,0.2,8:14 AM
San Antonio,Texas,United States,0.2,8:14 AM
Charlotte,North Carolina,United States,0.2,8:14 AM
Chicago,Illinois,United States,0.1,8:14 AM
Dallas,Texas,United States,0.1,8:14 AM
Houston,Texas,United States,0.1,8:14 AM
Sheridan,Oregon,United States,0.0,8:14 AM
New York,New York,United States,0.0,8:14 AM
University Park,New Mexico,United States,50.0,8:15 AM
Pinckney,Michigan,United States,33.3,8:15 AM
East Peoria,Illinois,United States,25.0,8:15 AM
Roanoke,Texas,United States,20.0,8:15 AM
Garfield Township,Michigan,United States,16.7,8:15 AM
Dexter,Michigan,United States,16.7,8:15 AM
Centerville,Ohio,United States,16.7,8:15 AM
Lawrence,Indiana,United States,14.3,8:15 AM
Ogden,Utah,United States,14.3,8:15 AM
Tarpon Springs,Florida,United States,11.1,8:15 AM
Union Charter Township,Michigan,United States,11.1,8:15 AM
Exton,Pennsylvania,United States,10.0,8:15 AM
Wethersfield,Connecticut,United States,7.1,8:15 AM
Staunton,Virginia,United States,5.9,8:15 AM
Owensboro,Kentucky,United States,5.6,8:15 AM
Jordan,Minnesota,United States,5.6,8:15 AM
Tucson,Arizona,United States,2.5,8:15 AM
Pittsfield Charter Township,Michigan,United States,1.6,8:15 AM
West Memphis,Arkansas,United States,1.3,8:15 AM
Austin,Texas,United States,1.1,8:15 AM
Smyrna,Georgia,United States,1.0,8:15 AM
Cleveland,Ohio,United States,0.8,8:15 AM
Bridgewater,New Jersey,United States,0.8,8:15 AM
Plano,Texas,United States,0.5,8:15 AM
Washington,District of Columbia,United States,0.3,8:15 AM
Philadelphia,Pennsylvania,United States,0.3,8:15 AM
Indianapolis,Indiana,United States,0.3,8:15 AM
Atlanta,Georgia,United States,0.2,8:15 AM
San Antonio,Texas,United States,0.2,8:15 AM
Altamonte Springs,Florida,United States,0.2,8:15 AM
Los Angeles,California,United States,0.2,8:15 AM
Charlotte,North Carolina,United States,0.2,8:15 AM
Chicago,Illinois,United States,0.1,8:15 AM
Sheridan,Oregon,United States,0.1,8:15 AM
Dallas,Texas,United States,0.1,8:15 AM
New York,New York,United States,0.1,8:15 AM
Houston,Texas,United States,0.1,8:15 AM
Annapolis,Maryland,United States,13.3,8:16 AM
Hazleton,Pennsylvania,United States,12.5,8:16 AM
Lone Tree,Colorado,United States,11.1,8:16 AM
Fort Washington,Pennsylvania,United States,11.1,8:16 AM
Lakeside,Florida,United States,10.0,8:16 AM
Minnetonka,Minnesota,United States,7.7,8:16 AM
Waukegan,Illinois,United States,6.7,8:16 AM
Worthington,Ohio,United States,6.3,8:16 AM
Queensbury,New York,United States,5.3,8:16 AM
Valdosta,Georgia,United States,4.5,8:16 AM
Peachtree City,Georgia,United States,3.3,8:16 AM
Concord,New Hampshire,United States,3.1,8:16 AM
McKinney,Texas,United States,2.5,8:16 AM
Jacksonville,North Carolina,United States,2.0,8:16 AM
Panama City Beach,Florida,United States,1.9,8:16 AM
Wichita,Kansas,United States,1.6,8:16 AM
Jersey City,New Jersey,United States,1.1,8:16 AM
Leesburg,Virginia,United States,1.0,8:16 AM
Boston,Massachusetts,United States,0.6,8:16 AM
Phoenix,Arizona,United States,0.4,8:16 AM
Tampa,Florida,United States,0.4,8:16 AM
Detroit,Michigan,United States,0.4,8:16 AM
Dallas,Texas,United States,0.2,8:16 AM
Los Angeles,California,United States,0.2,8:16 AM
Houston,Texas,United States,0.2,8:16 AM
Atlanta,Georgia,United States,0.2,8:16 AM
Philadelphia,Pennsylvania,United States,0.1,8:16 AM
Washington,District of Columbia,United States,0.1,8:16 AM
Chicago,Illinois,United States,0.1,8:16 AM
Sheridan,Oregon,United States,0.1,8:16 AM
New York,New York,United States,0.0,8:16 AM
Cedar Springs,Michigan,United States,100.0,8:17 AM
Perth Amboy,New Jersey,United States,25.0,8:17 AM
Alice,Texas,United States,25.0,8:17 AM
Niles,Ohio,United States,20.0,8:17 AM
Meadville,Pennsylvania,United States,10.0,8:17 AM
Sparta Township,New Jersey,United States,7.7,8:17 AM
Sharon,Massachusetts,United States,6.3,8:17 AM
Howell,Michigan,United States,5.9,8:17 AM
Cockeysville,Maryland,United States,4.3,8:17 AM
Lubbock,Texas,United States,3.2,8:17 AM
Peachtree City,Georgia,United States,3.1,8:17 AM
Syracuse,New York,United States,1.7,8:17 AM
Chattanooga,Tennessee,United States,1.6,8:17 AM
Arlington,Texas,United States,1.5,8:17 AM
Bridgewater,New Jersey,United States,0.8,8:17 AM
Arlington,Virginia,United States,0.7,8:17 AM
Birmingham,Alabama,United States,0.7,8:17 AM
Newark,New Jersey,United States,0.7,8:17 AM
Pittsburgh,Pennsylvania,United States,0.4,8:17 AM
Detroit,Michigan,United States,0.4,8:17 AM
Nashville,Tennessee,United States,0.2,8:17 AM
Boston,Massachusetts,United States,0.2,8:17 AM
Washington,District of Columbia,United States,0.1,8:17 AM
Houston,Texas,United States,0.1,8:17 AM
Atlanta,Georgia,United States,0.1,8:17 AM
New York,New York,United States,0.1,8:17 AM
Sheridan,Oregon,United States,0.1,8:17 AM
Fort Hunt,Virginia,United States,33.3,8:18 AM
Mount Vernon,Virginia,United States,14.3,8:18 AM
Grovetown,Georgia,United States,11.1,8:18 AM
Middle Valley,Tennessee,United States,8.3,8:18 AM
Titusville,Florida,United States,7.1,8:18 AM
Santa Ana,California,United States,7.1,8:18 AM
Springfield,Virginia,United States,6.7,8:18 AM
Sunnyvale,California,United States,4.2,8:18 AM
Pinellas Park,Florida,United States,3.0,8:18 AM
Reston,Virginia,United States,2.7,8:18 AM
Stamford,Connecticut,United States,2.0,8:18 AM
Palm Beach Gardens,Florida,United States,2.0,8:18 AM
McAllen,Texas,United States,2.0,8:18 AM
New Orleans,Louisiana,United States,1.9,8:18 AM
Mount Laurel,New Jersey,United States,1.7,8:18 AM
Richmond,Virginia,United States,1.0,8:18 AM
Grand Rapids,Michigan,United States,0.7,8:18 AM
Salisbury,North Carolina,United States,0.6,8:18 AM
Pittsburgh,Pennsylvania,United States,0.5,8:18 AM
Altamonte Springs,Florida,United States,0.4,8:18 AM
Austin,Texas,United States,0.3,8:18 AM
Denver,Colorado,United States,0.3,8:18 AM
Washington,District of Columbia,United States,0.3,8:18 AM
Nashville,Tennessee,United States,0.2,8:18 AM
Dallas,Texas,United States,0.2,8:18 AM
Los Angeles,California,United States,0.2,8:18 AM
