District,Code,State,FIRST,SECOND,THIRD,FOURTH,FIFTH,SIXTH,SEVENTH,EIGHTH,NINTH,TENTH,2003 Invasion of Iraq,Abortion,Abortion-rights movement,Affirmative action,Agricultural subsidies,Aid,Alternative energy,Anti-abortion movements,Basic income,Body worn video,Campaign finance,Campus sexual assault,Capital gains tax,Capital punishment,Charter schools,Chelsea Manning,Climate change,Common core,Confederate states,Corporate tax,DACA,Dakota Access pipeline,Dream act,Drug policy,Drug testing welfare recipients,Economic stimulus,Edward Snowden,Electoral college,Electoral fraud,Electronic Classroom of Tomorrow,Eminent domain,Equal pay for equal work,Estate tax in the United States,Euthanasia,Executive Order 13769,Federal reserve system,First amendment,Flag desecration,Flags of the confederate states,Free trade,Freedom of religion,Gender identity,Gender workplace diversity,Genetically modified organism,Gerrymandering,Global warming,Government spending,Gun control,Health care,Hydraulic fracturing,Immigration,Immigration to the United States,Income tax,Iraq War,ISIS,Islam,Israel boycott,Joint Comprehensive Plan of Action (Iran Deal),Labor Unions in the United States,Legal history of cannabis in the United States,Legality of cannabis,LGBT adoption rights,LGBT rights,Lobbying,Lockheed Martin F-35,Maternity leave in the United States,Medicaid,Medicare,Mental health,Mexico-United States barrier,Military budget,Military service,Minimum wage,NAFTA,National Debt of the United States,National security,National Security Agency,NATO,Net neutrality,No fly list,North Korea and weapons of mass destruction,Nuclear power,Obamacare,Offshore bank,Offshore drilling,Overtime pay,Paris Agreement,Patriot act,Pensions,Planned Parenthood,Political corruption,Prescription costs,PRISM,Prison overcrowding,Private Prisons,Property taxes,Public transportation,Right to work,Russian interference in the 2016 United States elections,Russian military action in Syria,Safe spaces,Same-sex marriage,Sanctuary cities,September 11 attacks,Sick leave,Single-payer healthcare,Social programs in the United States,Social security,Solitary confinement,Space exploration,Student loans in the United States,Syrian civil war,Tariff,Tax Cuts and Jobs Act of 2017,Term limits in the United States,Terrorism,Torture,TPP,Transgender people in the military,U.S. national anthem protests,United Nations,Vaccine controversies,Voter turnout,Voting age,War in Afghanistan,Welfare,Whistleblower,Women in combat,Women's health
Arkansas 4th,AR-04,AR,September 11 attacks,Health care,Medicare,Mental health,Medicaid,Property taxes,Immigration,United Nations,Social security,Common core,0.41,0.85,0,0.15,0,0.57,0,0,0,0,0,0,0.28,0.88,0.43,0,0.44,1.75,0,0.59,0.15,0,0,0,0,0,0,0.28,0,0,0.28,0,0,0,0.14,0.44,0.42,0,0.3,0,0.15,0,0,0.28,0.15,0.41,0,0,6.17,0.69,2.71,0.27,1.19,0.28,0,1.28,0,0,0,0,0.28,0,0,0,0.14,0,4.49,5.3,4.58,0,0,0.55,1.47,0.14,0,0.55,0,0,0,0,0,1.08,0.4,0,0,0,0,0.27,0.7,0.14,0.14,0,0,0,0,3.09,0.14,0.14,0,0,0,0.55,0,49.03,0,0,0,2.31,0,0,0,0,0.97,0,0.29,1.54,1.38,0,0,0.14,2.31,0,0,0,0,0,0,0,0.27
Arizona 1st,AZ-01,AZ,September 11 attacks,Health care,Medicare,Minimum wage,Mental health,Immigration,Tariff,Pensions,Terrorism,Nuclear power,1.49,1.19,0.03,0.07,0.01,0.28,0,0.05,0.02,0.07,0.02,0,0.18,0.73,0.53,0,0.55,0.63,0.38,0.09,0.15,0,0.04,1.36,0,0,0.07,0.31,0,0,0.03,0.07,0.01,0.17,0.03,0.28,0.8,0,0.15,0.02,0.13,0.07,0,0.37,0.13,0.26,0.13,0.32,9.74,0.12,2.23,0.07,0.85,0.09,0.46,0.62,0,0,0,0,0.46,0,0,0.13,0.14,0,0.59,2.95,2.4,0.02,0.06,0.16,2.66,0.16,0.37,0.02,0.23,0.3,0.14,0,0,1.61,0.6,0,0.04,0.16,0.05,0.11,1.88,0.72,0.03,0,0,0,0.02,1.17,0.27,0.12,0,0,0.04,0.18,0.01,36.87,0.3,0,0.08,1.55,0.03,0.11,0.03,0.2,1.9,0,0,1.78,0.33,0.01,0,0,0.72,0,0.04,0.02,0.01,0.13,0.09,0.01,0.11
Arizona 2nd,AZ-02,AZ,September 11 attacks,Health care,Medicare,Immigration,Mental health,Social security,Minimum wage,Property taxes,Abortion,Islam,0.08,1.7,0.04,0.13,0.01,0.39,0.04,0.05,0.02,0.02,0.13,0,0.32,0.84,0.85,0,0.81,0.62,0.3,0.13,0.4,0.02,0.02,0.02,0,0.01,0.1,0.3,0,0,0.05,0.04,0.09,0.37,0.18,0.59,0.4,0.18,0.1,0.05,0.16,0.03,0,0.54,0.18,0.84,0.23,0.2,6.57,0.17,3.3,0.06,1.12,0.23,0.55,1.4,0,0.01,0,0.03,0.19,0,0.01,0.23,0.27,0,0.87,4.84,2.84,0.06,0.1,0.13,1.89,0.3,0.24,0.16,0.32,0.3,0.13,0,0,0.78,0.74,0,0.05,0.14,0.09,0.08,0.98,0.93,0.04,0,0,0,0.02,1.85,0.33,0.02,0,0.02,0.04,0.34,0.04,18.97,0.42,0,0.11,2.06,0.01,0.13,0.07,0.23,1.28,0,0.03,1.07,0.49,0.1,0,0,1.06,0.03,0.15,0.03,0.05,0.1,0.16,0.01,0.28
Arizona 3rd,AZ-03,AZ,September 11 attacks,Health care,Medicare,Social security,Immigration,Minimum wage,Mental health,Federal reserve system,Abortion,Common core,0.35,1.53,0.11,0.07,0.01,0.43,0.01,0.11,0,0.07,0.08,0,0.05,0.76,0.8,0,0.27,1.45,0.75,0.04,0.41,0,0.05,0.03,0,0,0.13,0.29,0.03,0,0.04,0.03,0,0.69,0.03,1.76,0.96,0.02,0.13,0.12,0.09,0.05,0,0.17,0.08,0.49,0.13,0.16,6.28,0.13,2.98,0.06,1.02,0.18,0.31,1.12,0,0.01,0.03,0.01,0.83,0,0,0.16,0.2,0,0.64,3.45,2.3,0.29,0.02,0.07,2.76,0.2,0.16,0.06,0.35,0.24,0.58,0,0.05,0.48,0.6,0.01,0,0.26,0.02,0.14,0.71,0.84,0.01,0.01,0.01,0.01,0.04,0.98,0.15,0.03,0,0.01,0,0.13,0,23.76,0.13,0,0.59,3.24,0,0,0.07,0.18,0.43,0,0.01,1,0.7,0.02,0,0,1.02,0.01,0.05,0.01,0.01,0.09,0.35,0,1.19
Arizona 4th,AZ-04,AZ,September 11 attacks,Health care,Medicare,Mental health,Immigration,Minimum wage,Social security,Charter schools,Property taxes,Abortion,0.04,1.37,0.08,0.07,0,0.51,0.04,0.04,0.05,0.04,0.1,0,0.47,0.8,1.62,0,0.49,0.79,0.44,0.31,0.23,0,0,0,0,0.03,0.17,0.56,0.02,0,0.13,0.03,0.09,0.31,0.02,0.53,0.53,0.02,0.15,0.04,0.11,0.07,0,0.47,0.05,0.38,0.11,0.1,7.13,0.18,2.44,0.02,0.77,0.14,0.58,0.91,0,0,0.02,0.02,0.57,0,0,0.14,0.32,0,0.79,4.61,2.61,0.09,0.14,0.09,2.22,0.11,0.46,0.2,0.34,0.36,0.13,0.02,0,0.92,0.4,0,0.02,0.32,0.03,0.09,0.83,0.6,0.02,0,0,0.02,0,1.61,0.25,0.05,0,0,0.02,0.31,0.1,20.25,0.43,0,0.08,2.14,0.02,0.09,0.08,0.1,0.66,0,0.02,1.35,0.35,0.09,0,0.02,0.55,0.02,0.04,0,0.09,0.13,0.02,0,0.28
Arizona 5th,AZ-05,AZ,September 11 attacks,Health care,Medicare,Immigration,Mental health,Social security,Minimum wage,Abortion,Charter schools,Property taxes,0.03,1.72,0.05,0.14,0.01,0.33,0.05,0.08,0.01,0.06,0.11,0,0.34,0.64,1.43,0.01,0.47,0.84,0.64,0.23,0.24,0.02,0.03,0.02,0,0.03,0.12,0.52,0.02,0,0.14,0.04,0.01,0.27,0.05,0.45,0.64,0,0.15,0.03,0.09,0.01,0,0.31,0.27,0.51,0.13,0.21,5.2,0.06,2.3,0.04,1.2,0.19,0.32,1.3,0,0,0,0,0.4,0,0.03,0.29,0.21,0,0.74,2.72,1.96,0.07,0.04,0.14,1.79,0.19,0.39,0.07,0.19,0.25,0.28,0,0,0.98,0.58,0,0.05,0.22,0.05,0.09,0.75,1.01,0.06,0.01,0,0.01,0.03,1.36,0.37,0.06,0,0.01,0.01,0.27,0.03,20.74,0.43,0,0.07,1.83,0.05,0.05,0.07,0.13,1.02,0,0.02,0.99,0.37,0.09,0,0,0.72,0.06,0.07,0.05,0.03,0.04,0.06,0,0.21
Arizona 6th,AZ-06,AZ,September 11 attacks,Health care,Medicare,Medicaid,Mental health,Immigration,Property taxes,Social security,Minimum wage,Tariff,0.01,1.38,0.02,0.06,0.03,0.32,0.01,0.06,0.04,0.12,0.15,0,0.5,0.51,0.93,0.02,0.4,0.47,0.28,0.33,0.23,0.01,0.09,0.02,0,0,0.12,0.28,0.02,0,0.03,0.07,0.13,0.17,0.01,0.69,0.18,0.03,0.13,0.06,0.06,0.08,0,0.33,0.02,0.39,0.07,0.22,8.49,0.15,2.36,0.04,1.27,0.12,0.35,0.94,0,0.01,0.02,0,0.4,0,0.02,0.24,0.12,0,2.49,6.46,2.41,0.07,0.02,0.1,1.71,0.5,0.33,0.05,0.18,0.31,0.16,0.01,0,0.92,0.76,0.01,0.07,0.27,0.13,0.1,1.09,0.8,0.01,0.01,0,0,0.06,2.35,0.33,0.07,0,0,0.04,0.31,0.06,19.4,0.48,0,0.07,2.18,0.05,0.05,0.04,0.05,1.4,0,0.02,0.68,0.4,0.04,0,0,0.52,0.02,0.04,0.01,0.07,0.07,0.11,0.01,0.32
Arizona 7th,AZ-07,AZ,September 11 attacks,Health care,Medicare,Immigration,Mental health,Minimum wage,Social security,Abortion,Charter schools,Planned Parenthood,0.06,1.65,0.09,0.22,0.02,0.27,0.03,0.07,0.03,0.16,0.09,0,0.2,0.76,1.35,0.03,0.39,0.89,0.41,0.13,0.75,0.01,0.07,0.01,0,0.01,0.13,0.3,0.02,0.01,0.18,0.04,0.06,0.32,0.03,0.45,0.64,0.01,0.16,0.12,0.14,0.05,0,0.52,0.09,0.36,0.08,0.29,6.23,0.16,3.05,0.05,0.74,0.1,0.33,1.19,0,0,0,0,0.48,0.01,0.02,0.26,0.34,0,1.07,3.18,3.02,0.03,0.07,0.17,2.08,0.32,0.39,0.06,0.2,0.23,0.1,0.01,0,0.96,0.62,0.01,0.02,0.27,0.06,0.11,0.73,1.2,0.08,0.01,0,0,0.04,1.01,0.43,0.04,0,0.01,0.02,0.32,0.04,21.15,0.38,0,0.15,1.75,0.05,0.04,0.06,0.08,0.7,0,0.04,1.11,0.47,0.06,0,0.01,0.67,0.03,0.06,0.01,0.05,0.08,0.16,0.01,0.25
Arizona 8th,AZ-08,AZ,September 11 attacks,Health care,Medicare,Mental health,Social security,Immigration,Minimum wage,Abortion,Charter schools,Property taxes,0.02,1.53,0.02,0.13,0,0.38,0,0.07,0,0.07,0.09,0,0.37,0.55,1.46,0,0.43,1.16,0.94,0.11,0.26,0,0.06,0,0,0,0.09,0.26,0.02,0,0.06,0,0.04,0.22,0.04,0.41,0.3,0,0.15,0.07,0.08,0.02,0,0.35,0.04,0.32,0.03,0.21,5.37,0.11,1.94,0.09,0.7,0.16,0.34,0.86,0,0,0.04,0,0.24,0,0.02,0.12,0.22,0,0.76,4.36,3.03,0.04,0.02,0.23,1.87,0.12,0.22,0.02,0.11,0.17,0.16,0,0,0.94,0.6,0.04,0.02,0.19,0.04,0.05,0.93,0.69,0.25,0.02,0,0,0.04,1.29,0.23,0,0,0.04,0.05,0.18,0.04,19.86,0.38,0,0.11,2.61,0,0.15,0.04,0.09,0.81,0,0.07,0.61,0.57,0.02,0,0,0.56,0.04,0,0.05,0.04,0.05,0.11,0.03,0.27
Arizona 9th,AZ-09,AZ,September 11 attacks,Health care,Medicare,Mental health,Immigration,Minimum wage,Islam,Social security,Abortion,Property taxes,0.03,1.66,0.04,0.2,0.01,0.43,0.05,0.09,0.03,0.15,0.1,0.02,0.27,0.99,1.2,0.02,0.54,0.71,0.43,0.12,0.52,0.02,0.11,0.01,0,0.01,0.14,0.29,0.02,0,0.14,0.03,0.02,0.3,0.05,0.52,0.65,0.01,0.17,0.12,0.11,0.08,0,0.57,0.11,0.46,0.12,0.32,7.7,0.37,2.71,0.13,0.86,0.21,0.46,1.84,0,0.01,0.02,0,0.42,0.01,0.01,0.26,0.12,0,1.2,3.42,2.92,0.04,0.06,0.19,2.1,0.18,0.37,0.08,0.29,0.26,0.27,0.01,0,1.07,0.7,0.01,0.04,0.28,0.07,0.1,0.73,1.21,0.01,0.01,0,0.01,0.03,1.26,0.45,0.06,0,0.01,0.03,0.35,0.04,20.3,0.46,0,0.18,1.82,0.02,0.14,0.06,0.11,0.98,0,0.01,1.05,0.5,0.04,0,0,0.84,0.04,0.05,0.04,0.1,0.12,0.19,0,0.3
California 1st,CA-01,CA,September 11 attacks,Health care,Medicare,Mental health,Minimum wage,Immigration,Social security,Abortion,Confederate states,Planned Parenthood,0.87,1.35,0.01,0.16,0.18,1.19,0.11,0.05,0,0.07,0.04,0.01,0.2,0.81,1.21,0.02,0.66,1.08,1.35,0.07,0.21,0,0.02,0.04,0.01,0,0.07,0.3,0.01,0,0.19,0.09,0.05,0.19,0.01,0.47,0.19,0.01,0.48,0.01,0.11,0.07,0,0.32,0.01,0.48,0.08,0.18,4.64,0.2,2.25,0.06,0.72,0.6,0.18,0.54,0,0.01,0,0,0.17,0.01,0.01,0.24,0.18,0,0.62,3.39,3.31,0.02,0.13,0.27,2.55,0.09,0.28,0.01,0.11,0.34,0.07,0,0,1.13,0.32,0,0,0.19,0.05,0.03,1.25,1.33,0.02,0,0,0.01,0.02,0.83,0.85,0.05,0,0,0.07,0.12,0.01,20.26,0.39,0,0.36,1.59,0.02,0.02,0.21,0.1,0.77,0,0,0.83,0.64,0.15,0,0,0.66,0.02,0,0.09,0.08,0.33,0.14,0,0.57
