region,snow
Campania (Italy),6
Sardinia (Italy),6
Hyogo Prefecture (Japan),6
South Moravian Region (Czech Republic),6
Tristan da Cunha (Saint Helena Ascension and Tristan da Cunha),6
Washington (United States),6
Hiroshima Prefecture (Japan),6
North Holland (Netherlands),6
Catalonia (Spain),6
La Rioja (Spain),6
Asturias (Spain),6
Calabria (Italy),6
Castile and León (Spain),6
Louisiana (United States),6
Olomouc Region (Czech Republic),6
Gifu Prefecture (Japan),6
Saskatchewan (Canada),6
Rhineland-Palatinate (Germany),6
Shizuoka Prefecture (Japan),6
Yamaguchi Prefecture (Japan),6
Missouri (United States),6
Västra Götaland County (Sweden),6
Salzburg (Austria),6
Aichi Prefecture (Japan),6
Osaka Prefecture (Japan),6
Wakayama Prefecture (Japan),6
Constantine (Algeria),5
Trabzon (Turkey),5
North Rhine-Westphalia (Germany),5
Uusimaa (Finland),5
East Azerbaijan (Iran),5
Beirut (Lebanon),5
Vojvodina (Serbia),5
Federation of Bosnia and Herzegovina (Bosnia and Herzegovina),5
Galicia (Spain),5
Nova Scotia (Canada),5
Mazandaran (Iran),5
Miyagi Prefecture (Japan),5
Republika Srpska (Bosnia and Herzegovina),5
Canton of Bern (Switzerland),5
North Carolina (United States),5
Žilina Region (Slovakia),5
California (United States),5
North Denmark Region (Denmark),5
Central Bohemian Region (Czech Republic),5
Lapland (Finland),5
Kayseri Province (Turkey),5
Prague (Czech Republic),5
Skopje (Macedonia (FYROM)),5
Fukuoka Prefecture (Japan),5
Isfahan (Iran),5
Southwest Finland (Finland),5
Akershus (Norway),5
Apulia (Italy),5
Community of Madrid (Spain),5
Jonkoping County (Sweden),5
Sicily (Italy),5
South Bohemian Region (Czech Republic),4
Moravian-Silesian Region (Czech Republic),4
Tokushima Prefecture (Japan),4
Alborz (Iran),4
Kagawa Prefecture (Japan),4
Khuzestan (Iran),4
Iași County (Romania),4
Ostfold (Norway),4
Riga (Latvia),4
Kansas (United States),4
Kocaeli (Turkey),4
Vilnius County (Lithuania),4
Nevada (United States),4
İstanbul (Turkey),4
Tehran (Iran),4
Valencian Community (Spain),4
Fars (Iran),4
Central Region (Nepal),4
Antalya (Turkey),4
İzmir (Turkey),4
South Carolina (United States),4
Ankara (Turkey),4
Oslo (Norway),4
Bursa (Turkey),4
Hesse (Germany),4
Khorasan Razavi (Iran),4
City of Zagreb (Croatia),4
Adana (Turkey),4
Denizli (Turkey),4
Arizona (United States),4
Hawaii (United States),4
Arkansas (United States),4
Mersin Province (Turkey),4
Zurich (Switzerland),4
Jammu and Kashmir (India),3
Konya (Turkey),3
Florida (United States),3
Baden-Württemberg (Germany),3
Moscow Oblast (Russia),3
Pirkanmaa (Finland),3
Aydın Province (Turkey),3
Lower Saxony (Germany),3
Saxony (Germany),3
Castile-La Mancha (Spain),3
New Mexico (United States),3
Stockholm County (Sweden),3
Taoyuan City (Taiwan),3
Taipei City (Taiwan),3
Bremen (Germany),3
Styria (Austria),3
Diyarbakır (Turkey),3
New Taipei City (Taiwan),3
Zakarpats'ka oblast (Ukraine),3
Brandenburg (Germany),3
Kumamoto Prefecture (Japan),3
Samara Oblast (Russia),3
Tainan City (Taiwan),3
Algiers Province (Algeria),3
Thuringia (Germany),3
Sor-Trondelag (Norway),3
Kaohsiung City (Taiwan),3
St. Gallen (Switzerland),3
Şanlıurfa Province (Turkey),3
Taichung City (Taiwan),3
Andalusia (Spain),3
Central Denmark Region (Denmark),3
Saxony-Anhalt (Germany),3
Harju County (Estonia),3
Oklahoma (United States),3
Region of Murcia (Spain),3
Bavaria (Germany),3
Capital Region of Denmark (Denmark),3
Gaziantep (Turkey),3
Lower Austria (Austria),3
Moscow (Russia),3
Republic of Bashkortostan (Russia),3
Tekirdağ (Turkey),3
Texas (United States),3
Skåne County (Sweden),3
Sums'ka oblast (Ukraine),3
Vienna (Austria),3
Tunis (Tunisia),3
Nizhny Novgorod Oblast (Russia),3
Ho Chi Minh (Vietnam),3
Saint Petersburg (Russia),3
Nitra Region (Slovakia),3
Berlin (Germany),3
Hanoi (Vietnam),3
Canary Islands (Spain),3
Porto District (Portugal),3
Upper Austria (Austria),3
Queensland (Australia),2
Tatarstan (Russia),2
Lublin Voivodeship (Poland),2
Okinawa Prefecture (Japan),2
Kharkiv Oblast (Ukraine),2
Bucharest (Romania),2
Sofia City Province (Bulgaria),2
Primorsky Krai (Russia),2
Region Syddanmark (Denmark),2
Balearic Islands (Spain),2
New South Wales (Australia),2
Center District (Israel),2
Punjab (Pakistan),2
Lisbon (Portugal),2
Kyiv city (Ukraine),2
Lviv Oblast (Ukraine),2
Chelyabinsk Oblast (Russia),2
Amman Governorate (Jordan),2
Odessa Oblast (Ukraine),2
Lesser Poland Voivodeship (Poland),2
Budapest (Hungary),2
Schleswig-Holstein (Germany),2
Dnipropetrovsk Oblast (Ukraine),2
Western Australia (Australia),2
Sverdlovsk Oblast (Russia),2
Podkarpackie Voivodeship (Poland),2
Hamburg (Germany),2
Masovian Voivodeship (Poland),2
Warmian-Masurian Voivodeship (Poland),2
Greater Poland Voivodeship (Poland),2
Punjab (India),2
Bangkok (Thailand),2
Lower Silesian Voivodeship (Poland),2
Dubai (United Arab Emirates),2
Victoria (Australia),2
Krasnodar Krai (Russia),2
South Australia (Australia),2
Pomeranian Voivodeship (Poland),2
Łódź Voivodeship (Poland),2
Novosibirsk Oblast (Russia),2
Abu Dhabi (United Arab Emirates),2
Chandigarh (India),2
Auckland (New Zealand),2
Delhi (India),2
Chiang Mai (Thailand),2
Metro Manila (Philippines),2
Chihuahua (Mexico),1
Sindh (Pakistan),1
Selangor (Malaysia),1
Calabarzon (Philippines),1
Makkah Province (Saudi Arabia),1
Haryana (India),1
Jalisco (Mexico),1
Nuevo Leon (Mexico),1
Federal Territory of Kuala Lumpur (Malaysia),1
Riyadh Province (Saudi Arabia),1
Banten (Indonesia),1
Guanajuato (Mexico),1
Special Capital Region of Jakarta (Indonesia),1
West Java (Indonesia),1
Bali (Indonesia),1
Johor (Malaysia),1
KwaZulu-Natal (South Africa),1
Mexico City (Mexico),1
Veracruz (Mexico),1
State of Mexico (Mexico),1
State of São Paulo (Brazil),1
Gauteng (South Africa),1
State of Santa Catarina (Brazil),1
Autonomous City of Buenos Aires (Argentina),1
Cairo Governorate (Egypt),1
Central Java (Indonesia),1
Santiago Metropolitan Region (Chile),1
Maharashtra (India),1
Santa Fe Province (Argentina),1
East Java (Indonesia),1
Kerala (India),1
State of Paraná (Brazil),1
Buenos Aires Province (Argentina),1
Western Province (Sri Lanka),1
Karnataka (India),1
State of Rio Grande do Sul (Brazil),1
Federal District (Brazil),1
State of Rio de Janeiro (Brazil),1
State of Minas Gerais (Brazil),1
Uttar Pradesh (India),1
Lagos (Nigeria),1
State of Espírito Santo (Brazil),1
State of Pernambuco (Brazil),1
Tamil Nadu (India),1
Bogota (Colombia),1
Gujarat (India),1
West Bengal (India),1
Telangana (India),0
Rajasthan (India),0
Madhya Pradesh (India),0
Jerusalem District (Israel),0
Miranda (Venezuela),0
Kostanay Region (Kazakhstan),0
Mykolaivs'ka oblast (Ukraine),0
Cundinamarca (Colombia),0
Phnom Penh (Cambodia),0
Sistan and Baluchestan (Iran),0
Araucania (Chile),0
Capital District (Venezuela),0
Aktobe Region (Kazakhstan),0
An Giang Province (Vietnam),0
Udmurt Republic (Russia),0
North (Lebanon),0
