District,Code,State,FIRST,SECOND,THIRD,FOURTH,FIFTH,SIXTH,SEVENTH,EIGHTH,NINTH,TENTH,2003 Invasion of Iraq,Abortion,Abortion-rights movement,Affirmative action,Agricultural subsidies,Aid,Alternative energy,Anti-abortion movements,Basic income,Body worn video,Campaign finance,Campus sexual assault,Capital gains tax,Capital punishment,Charter schools,Chelsea Manning,Climate change,Common core,Confederate states,Corporate tax,DACA,Dakota Access pipeline,Dream act,Drug policy,Drug testing welfare recipients,Economic stimulus,Edward Snowden,Electoral college,Electoral fraud,Electronic Classroom of Tomorrow,Eminent domain,Equal pay for equal work,Estate tax in the United States,Euthanasia,Executive Order 13769,Federal reserve system,First amendment,Flag desecration,Flags of the confederate states,Free trade,Freedom of religion,Gender identity,Gender workplace diversity,Genetically modified organism,Gerrymandering,Global warming,Government spending,Gun control,Health care,Hydraulic fracturing,Immigration,Immigration to the United States,Income tax,Iraq War,ISIS,Islam,Israel boycott,Joint Comprehensive Plan of Action (Iran Deal),Labor Unions in the United States,Legal history of cannabis in the United States,Legality of cannabis,LGBT adoption rights,LGBT rights,Lobbying,Lockheed Martin F-35,Maternity leave in the United States,Medicaid,Medicare,Mental health,Mexico-United States barrier,Military budget,Military service,Minimum wage,NAFTA,National Debt of the United States,National security,National Security Agency,NATO,Net neutrality,No fly list,North Korea and weapons of mass destruction,Nuclear power,Obamacare,Offshore bank,Offshore drilling,Overtime pay,Paris Agreement,Patriot act,Pensions,Planned Parenthood,Political corruption,Prescription costs,PRISM,Prison overcrowding,Private Prisons,Property taxes,Public transportation,Right to work,Russian interference in the 2016 United States elections,Russian military action in Syria,Safe spaces,Same-sex marriage,Sanctuary cities,September 11 attacks,Sick leave,Single-payer healthcare,Social programs in the United States,Social security,Solitary confinement,Space exploration,Student loans in the United States,Syrian civil war,Tariff,Tax Cuts and Jobs Act of 2017,Term limits in the United States,Terrorism,Torture,TPP,Transgender people in the military,U.S. national anthem protests,United Nations,Vaccine controversies,Voter turnout,Voting age,War in Afghanistan,Welfare,Whistleblower,Women in combat,Women's health
Arkansas 3rd,AR-03,AR,Health care,Medicaid,Medicare,Immigration,Mental health,Property taxes,September 11 attacks,Social security,Abortion,Tariff,0.16,3.98,0.09,0.31,0.02,1.21,0.25,0.31,0.02,0.19,0.21,0.1,0.52,1.49,0.78,0.06,0.84,1.68,1.51,0.23,0.39,0,0.12,0.05,0.24,0,0.18,1.81,0,0,0.09,0.19,0.28,0.4,0.03,2.01,2.81,0,0.66,0.13,0.52,0.09,0,0.96,0.08,0.61,0.25,0.54,11,0.1,7.82,0.22,2.41,1.53,0.88,3.31,0.14,0.16,0.05,0,1.01,0.04,0.03,0.84,0.18,0,10.73,8.57,7.11,0.03,0.24,0.47,2.82,0.96,0.67,0.43,0.33,0.63,0.15,0,0,2.04,2.33,0,0.22,0.55,0.1,0.03,2.16,1.3,0.16,0,0,0.12,0.08,5.56,1.11,0.09,0,0.05,0,0.5,0,5.45,0.28,0,0.59,5.19,0.08,0.11,0.29,0.31,3.96,0,0.03,1.76,1.58,0.16,0,0,2.35,0.03,0.06,0.02,0.4,0.5,0.27,0.06,0.72
Arkansas 4th,AR-04,AR,Health care,Medicare,Medicaid,Immigration,Property taxes,Mental health,September 11 attacks,Social security,Electoral college,Tariff,0.37,3.32,0,0,0,2.13,0,0.36,0,0,0.37,0,0.76,1.42,0.74,0,0.37,0.75,2.19,0,0.35,0,0,0,0.71,0,0,4.62,0,0,0,0.36,0.36,0.37,0,2.48,2.19,0,0.36,0,0.37,0,0,0.7,0,1.06,0,0.69,13.7,0,9.93,0.35,2.12,3.15,0.7,3.36,0.37,0.37,0,0,1.05,0,0,1.11,0,0,12.01,12.71,8.41,0,0.35,0.71,1.45,0.73,0.75,1.11,0,0.71,0,0,0,2.46,2.49,0,0.35,0.7,0,0,2.82,1.4,0.37,0,0,0.35,0,8.68,0.35,0,0,0,0,0.36,0,7.45,0,0,1.12,6.62,0,0,0.72,0.71,4.57,0,0,2.8,2.17,0,0,0,2.15,0,0,0,0.35,0.72,0.37,0,0.72
Arizona 1st,AZ-01,AZ,Health care,Medicare,Mental health,Minimum wage,Social security,September 11 attacks,United Nations,Immigration,Abortion,Capital punishment,0.45,3.63,0.25,0.16,0,1.52,0.02,0.16,0.04,0.09,0.07,0.04,0.71,3.5,1.01,0.06,2.39,1.68,1.57,0.5,0.2,0.26,0.06,0.06,0,0,0.78,0.14,0,0,0.04,0.05,0.04,0.11,0.04,1.35,2.45,0,0.79,0.12,0.29,0.07,0,0.53,0.15,0.63,0.46,0.49,21.09,0.15,4.18,0.05,2.82,0.34,1.17,1.85,0,0,0.02,0,1.21,0,0.02,0.48,0.09,0,2.57,8.94,8.77,0.02,0.04,0.51,7.71,1.57,0.19,0.22,0.58,0.89,0.13,0,0,1.48,0.85,0,0.07,0.54,0.09,0.92,2.08,2.75,0.02,0,0.02,0,0.04,2.67,1.64,0.21,0,0.02,0.24,0.74,0.05,5.26,0.75,0,0.13,5.76,0.04,0.89,0.02,1.12,2.65,0,0.02,2.44,1.89,0.04,0,0,4.35,0.23,0.04,0.07,0.04,0.14,0.17,0.02,0.43
Arizona 2nd,AZ-02,AZ,Medicare,Health care,Immigration,Property taxes,Mental health,Social security,Minimum wage,September 11 attacks,Abortion,Income tax,0.51,3.64,0.1,0.14,0,1.1,0.01,0.19,0.01,0.24,0.31,0,0.96,1.36,1.48,0.02,1.02,1.29,1.22,0.2,0.56,0.07,0.09,0.02,0.01,0.01,0.26,0.85,0.09,0,0.31,0.02,0.09,1.04,0.27,1.95,0.36,0.09,0.26,0.18,0.25,0.17,0,0.85,0.29,1.3,0.29,0.62,16.36,0.4,6.55,0.11,3.63,0.61,0.96,2.15,0,0,0,0,1.15,0,0.04,0.74,1.32,0,1.91,22.35,6.16,0.05,0.12,1,4.97,0.21,0.73,0.6,0.46,0.49,0.57,0,0,1.04,1.45,0.01,0.03,0.37,0.15,0.1,2.32,2.26,0.24,0,0.01,0.01,0.06,6.4,0.44,0.32,0,0.06,0.14,0.82,0.04,4.48,1.15,0,0.15,5.53,0.05,0.23,0.12,0.18,2.93,0,0.05,1.79,1.99,0.07,0,0.01,2.81,0.06,0.16,0.03,0.07,0.33,0.45,0,0.54
Arizona 3rd,AZ-03,AZ,Health care,September 11 attacks,Immigration,Minimum wage,Medicare,Mental health,Confederate states,Abortion,Capital punishment,Nuclear power,0.13,4.18,0.07,0.32,0.01,1.17,0.09,0.16,0,0.44,0.17,0,0.21,3.4,2.33,0.01,2.05,3.29,4.49,0.15,1.3,0,0.13,0.05,0.04,0,0.21,1.16,0.05,0,0.3,0.24,0.01,1.08,0.07,0.64,1.12,0,0.84,0.23,0.26,0.07,0,0.51,0.77,0.74,0.35,0.49,11.56,0.44,6.68,0.32,2.49,0.48,0.6,3.09,0,0.1,0.02,0,0.99,0.01,0,0.33,0.73,0,1.4,6.06,5.97,0.23,0.09,0.54,6.25,0.68,0.73,0.29,0.52,1,0.46,0.01,0.51,3.37,0.96,0.02,0.18,0.52,0.13,0.07,1.65,1.74,0.19,0.08,0,0.3,0.15,3.06,0.63,0.12,0,0.16,0.03,0.58,0.05,6.98,0.45,0,0.67,3.1,0.1,0.09,0.08,1.15,2.34,0,0,1.17,1.06,0.12,0,0,2.6,0.04,0.1,0.16,0.3,0.77,0.32,0,2.64
Arizona 4th,AZ-04,AZ,Health care,Medicare,Social security,Minimum wage,September 11 attacks,Mental health,Abortion,Immigration,Legality of cannabis,Torture,0.2,4.94,0.2,0,0,0.43,0,0,0,0.21,0,0,0.21,1.78,0.41,0,1.87,2.08,1.02,0,0.59,0,0,0,0,0,0.4,0.41,0.2,0,0,0.4,0,0.41,0,0.58,0.2,0,0.21,0,0,0,0,0.2,0,0.2,0.59,0.59,14.89,1.22,3.92,0.61,2.17,0.19,0.59,1.04,0,0,0,0,3.32,0,0,0,0.81,0,2.13,12.59,6.45,0,0,0.2,7.26,0.21,0.62,0.41,0.41,0.8,0.84,0,0,0.98,0.59,0,0,0.4,0,0.4,1.96,1.76,0,0,0,0,0.2,2.43,0.58,0.2,0,0,0,1.79,0,6.89,0,0,1.05,8.74,0.2,0,0.2,0,2.35,0,0,0.97,3,0,0,0.21,1.4,0,0,0,0,0.2,0,0,0.21
Arizona 5th,AZ-05,AZ,Health care,Medicare,September 11 attacks,Mental health,Minimum wage,Confederate states,Immigration,Islam,Social security,Abortion,0.13,3.6,0.15,0.3,0.03,0.73,0.17,0.25,0.03,0.21,0.1,0.03,0.88,1.52,3.3,0,1,2.35,4.92,0.43,0.5,0.03,0.05,0,0,0,0.28,1.52,0.07,0,0.21,0.08,0.2,0.75,0.1,1.43,2.41,0.03,1.26,0.27,0.31,0.05,0,0.67,0.4,0.85,0.28,0.64,12.96,0.28,4.75,0.3,2.51,0.15,0.89,4.16,0,0.05,0,0,0.85,0,0.03,0.35,0.5,0,2.85,8.97,5.57,0.02,0.07,0.3,5.12,0.23,0.7,0.39,0.4,0.58,0.48,0,0,2.08,1.48,0,0.1,0.45,0.18,0.32,1.92,1.93,0.13,0.05,0,0.03,0.1,3.47,0.98,0.08,0,0.05,0.05,0.61,0.08,6.27,0.77,0,0.18,4.15,0.18,0.05,0.15,0.15,3.21,0,0.02,1.4,1.22,0.18,0,0.03,2.54,0.05,0.1,0.1,0,0.31,0.44,0.02,0.49
Arizona 6th,AZ-06,AZ,Health care,Mental health,Medicare,Immigration,Minimum wage,Abortion,Tariff,September 11 attacks,Planned Parenthood,Property taxes,0.04,5.24,0.13,0.68,0,1.01,0.04,0.33,0.11,0.46,0.2,0.13,0.66,2.78,1.75,0.09,2.73,1.21,0.83,0.56,1.27,0.02,0.15,0.1,0,0.02,0.74,0.59,0.13,0,0.23,0.07,0.22,1.05,0.09,1.58,1.38,0.07,0.22,1.94,0.26,0.31,0,1.29,0.09,1.13,0.48,1.1,24.61,0.65,7.91,0.16,2.57,0.34,1.06,3.34,0,0.06,0,0,1.21,0,0,0.76,0.59,0,3.5,8.04,8.83,0.09,0.21,0.33,5.88,0.43,0.69,0.27,1.06,0.86,0.33,0,0,1.75,2.02,0.06,0.09,0.63,0.2,0.29,1.7,3.92,0.07,0,0,0,0.13,3.53,1.57,0.13,0,0.02,0.05,0.77,0.05,4.65,1.35,0,0.31,3.44,0.05,0.43,0.2,0.31,4.71,0,0.11,1.57,1.05,0.25,0,0,2.92,0.06,0.31,0.02,0.18,0.28,0.56,0,0.74
Arizona 7th,AZ-07,AZ,Health care,Medicare,Immigration,Mental health,September 11 attacks,Minimum wage,Social security,Abortion,Islam,Charter schools,0.06,4.34,0.09,0.29,0.02,0.67,0.09,0.17,0.06,0.26,0.14,0.03,0.43,1.59,2.88,0.07,0.79,1.7,1.19,0.22,1.98,0.01,0.23,0.06,0,0.01,0.35,0.62,0.03,0,0.44,0.11,0.08,0.83,0.06,1.16,1.2,0.04,0.31,0.22,0.33,0.18,0,0.92,0.32,0.75,0.33,0.5,14.6,0.29,7.32,0.16,1.9,0.3,0.86,3.09,0,0.04,0,0,1.42,0.01,0.02,0.44,0.86,0,2.45,7.93,6.98,0.09,0.23,0.39,5.01,0.76,0.57,0.18,0.51,0.66,0.38,0.02,0,1.63,1.52,0.02,0.09,0.56,0.07,0.18,1.48,2.48,0.15,0.02,0,0.03,0.09,2.85,1.12,0.12,0,0.01,0.08,0.72,0.08,5.39,1.05,0,0.46,4.54,0.18,0.17,0.15,0.05,2.23,0,0.03,1.24,0.82,0.11,0,0,1.82,0.04,0.12,0.06,0.07,0.15,0.22,0,0.68
Arizona 8th,AZ-08,AZ,Health care,Medicare,September 11 attacks,Mental health,Social security,Minimum wage,Immigration,Property taxes,Charter schools,Abortion,0.07,3.61,0.1,0.23,0,0.71,0.08,0.18,0.09,0.22,0.12,0.05,0.47,2.29,3.76,0.09,1.08,2.74,2.5,0.07,0.44,0.03,0.1,0,0,0.02,0.35,1.55,0.02,0.03,0.15,0.05,0.11,0.87,0.1,0.6,1.45,0.05,0.62,0.23,0.31,0.2,0,1.13,0.91,1.04,0.59,0.45,12.75,0.33,4.58,0.07,1.41,0.33,0.91,2.54,0,0,0,0,1.06,0,0.03,0.85,1.22,0,2.4,8.95,6.66,0.05,0.17,0.46,5.1,0.67,0.31,0.42,0.38,0.75,0.28,0,0,1.53,1.51,0.09,0.05,0.46,0.04,0.09,1.79,1.71,0.25,0.02,0,0,0.07,4.22,0.58,0.19,0,0.03,0.03,0.51,0.12,6.98,1.38,0,0.36,5.42,0.07,0.58,0.22,0.1,2.87,0,0.06,1.79,1.72,0.07,0,0,2.02,0.02,0.07,0.17,0.1,0.27,0.27,0.05,0.64
Arizona 9th,AZ-09,AZ,Health care,Medicare,Mental health,Immigration,September 11 attacks,Minimum wage,Abortion,Social security,Islam,Tariff,0.03,4.53,0.18,0.48,0.03,0.86,0.08,0.32,0.08,0.38,0.23,0.07,0.68,2.14,2.2,0.08,1.8,1.37,1.27,0.37,1.24,0.01,0.13,0.05,0.01,0.02,0.53,0.81,0.08,0,0.18,0.1,0.18,0.81,0.08,1.25,1.6,0.06,0.41,1.07,0.29,0.23,0,1.01,0.18,1.03,0.29,0.83,19.5,0.55,7.08,0.22,2.06,0.29,0.94,3.75,0,0.03,0,0.01,1.03,0,0.01,0.54,0.43,0,2.9,8.3,7.67,0.06,0.18,0.44,5.39,0.37,0.67,0.28,0.81,0.6,0.28,0,0,2.14,1.67,0.04,0.08,0.64,0.16,0.18,1.74,3.17,0.07,0.02,0,0.01,0.14,3.24,1.19,0.12,0,0.02,0.04,0.9,0.06,5.99,1.07,0,0.28,4.41,0.07,0.33,0.17,0.23,3.52,0,0.07,1.72,1.18,0.18,0,0.01,2.46,0.07,0.22,0.06,0.15,0.24,0.38,0,0.59
California 1st,CA-01,CA,Medicare,Planned Parenthood,Health care,Minimum wage,Capital punishment,September 11 attacks,Abortion,Mental health,Pensions,Lockheed Martin F-35,4.4,7.28,0.03,0.14,0,1.42,0.03,0.05,0.06,0.38,0.03,0,1.03,8.91,1.63,0.03,0.96,2.03,0.8,0.18,0.08,0,0.03,0.12,0,0,0.11,0.36,0,0,0.35,0.03,0.08,0.25,0.03,0.36,0.4,0,0.42,0.06,0.11,0.3,0,0.71,0.06,0.52,0.17,0.05,10.53,0,2.88,0.19,1.69,0.27,0.35,0.95,0,0,0,0,0.49,0,0,0.17,4.99,0,0.69,15.16,6.64,0,0.14,0.14,9.88,0.26,0.43,0.11,4.31,0.33,0.22,0,0,4.82,0.5,0,0.11,0.8,0.03,0,5.03,10.61,0,0,0,0,0,2.32,0.49,0,0,0,0.05,0.44,0.11,7.61,0.85,0,0.41,2.58,0.11,0,0.06,0.03,1.8,0,0,0.33,0.28,0,0,0,0.79,0.08,0.2,0,0.11,0.14,0.2,0,1.78
