City,Region,Country,Place combined,"""Help Nepal"", Indexed search interest (1-100)",Time (in GMT)
Kita,Tokyo,Japan,"Kita, Japan",3,4/25/15 10:02
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 10:02
Ho Chi Minh City,Ho Chi Minh City,Vietnam,"Ho Chi Minh City, Vietnam",0,4/25/15 10:03
Golden Valley,Minnesota,United States,"Golden Valley, United States",3,4/25/15 10:04
Bristol,England,United Kingdom,"Bristol, United Kingdom",0,4/25/15 10:09
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 10:09
Freiburg,Baden-Wurttemberg,Germany,"Freiburg, Germany",0,4/25/15 10:11
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 10:11
Gandhidham,Gujarat,India,"Gandhidham, India",11,4/25/15 10:12
Vigo,Galicia,Spain,"Vigo, Spain",1,4/25/15 10:13
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/25/15 10:13
Mumbai,Maharashtra,India,"Mumbai, India",0,4/25/15 10:13
De Lier,South Holland,Netherlands,"De Lier, Netherlands",25,4/25/15 10:14
Chandigarh,Chandigarh,India,"Chandigarh, India",0,4/25/15 10:15
Bangalore,Karnataka,India,"Bangalore, India",0,4/25/15 10:16
La Orotava,Canary Islands,Spain,"La Orotava, Spain",25,4/25/15 10:17
Catonsville,Maryland,United States,"Catonsville, United States",25,4/25/15 10:17
Hamburg,Hamburg,Germany,"Hamburg, Germany",0,4/25/15 10:19
Kashiwa,Chiba Prefecture,Japan,"Kashiwa, Japan",2,4/25/15 10:19
Sheffield,England,United Kingdom,"Sheffield, United Kingdom",0,4/25/15 10:19
Seaford,England,United Kingdom,"Seaford, United Kingdom",9,4/25/15 10:21
Trento,Trentino-Alto Adige/Sisdtirol,Italy,"Trento, Italy",1,4/25/15 10:21
Doha,Ad Dawhah,Qatar,"Doha, Qatar",0,4/25/15 10:22
Tel Aviv,Tel Aviv District,Israel,"Tel Aviv, Israel",0,4/25/15 10:22
Manchester,England,United Kingdom,"Manchester, United Kingdom",0,4/25/15 10:25
Marseille,Provence-Alpes-Cote d'Azur,France,"Marseille, France",0,4/25/15 10:25
New Ash Green,England,United Kingdom,"New Ash Green, United Kingdom",50,4/25/15 10:26
Sharjah,Sharjah,United Arab Emirates,"Sharjah, United Arab Emirates",0,4/25/15 10:26
Riyadh,Riyadh Province,Saudi Arabia,"Riyadh, Saudi Arabia",0,4/25/15 10:27
Toronto,Ontario,Canada,"Toronto, Canada",0,4/25/15 10:27
Osnabrisck,Lower Saxony,Germany,"Osnabrisck, Germany",1,4/25/15 10:29
Cologne,North Rhine-Westphalia,Germany,"Cologne, Germany",0,4/25/15 10:30
New York,New York,United States,"New York, United States",0,4/25/15 10:31
The Hague,South Holland,Netherlands,"The Hague, Netherlands",0,4/25/15 10:31
Dundee,Scotland,United Kingdom,"Dundee, United Kingdom",1,4/25/15 10:32
Berlin,Berlin,Germany,"Berlin, Germany",0,4/25/15 10:33
Kathmandu,Central Region,Nepal,"Kathmandu, Nepal",1,4/25/15 10:33
Bristol,England,United Kingdom,"Bristol, United Kingdom",0,4/25/15 10:34
Milan,Lombardy,Italy,"Milan, Italy",0,4/25/15 10:34
Manchester,England,United Kingdom,"Manchester, United Kingdom",0,4/25/15 10:38
Ajman,Ajman,United Arab Emirates,"Ajman, United Arab Emirates",2,4/25/15 10:39
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 10:41
Bonn,North Rhine-Westphalia,Germany,"Bonn, Germany",0,4/25/15 10:43
Greater Noida,Uttar Pradesh,India,"Greater Noida, India",4,4/25/15 10:44
Limoges,Limousin,France,"Limoges, France",1,4/25/15 10:44
Lucknow,Uttar Pradesh,India,"Lucknow, India",0,4/25/15 10:44
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 10:45
Berlin,Berlin,Germany,"Berlin, Germany",0,4/25/15 10:47
Freiburg,Baden-Wurttemberg,Germany,"Freiburg, Germany",0,4/25/15 10:49
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/25/15 10:49
Cape Town,Western Cape,South Africa,"Cape Town, South Africa",0,4/25/15 10:53
Bedford,Texas,United States,"Bedford, United States",17,4/25/15 10:54
Doha,Ad Dawhah,Qatar,"Doha, Qatar",0,4/25/15 10:54
Larkspur,California,United States,"Larkspur, United States",3,4/25/15 10:54
Basildon,England,United Kingdom,"Basildon, United Kingdom",1,4/25/15 10:55
Arlington,Virginia,United States,"Arlington, United States",3,4/25/15 10:56
Norton,England,United Kingdom,"Norton, United Kingdom",5,4/25/15 10:56
Brisbane,Queensland,Australia,"Brisbane, Australia",0,4/25/15 10:58
Drochtersen,Lower Saxony,Germany,"Drochtersen, Germany",0,4/25/15 10:58
Doha,Ad Dawhah,Qatar,"Doha, Qatar",0,4/25/15 10:59
Abu Dhabi,Abu Dhabi,United Arab Emirates,"Abu Dhabi, United Arab Emirates",0,4/25/15 11:00
Brisbane,Queensland,Australia,"Brisbane, Australia",0,4/25/15 11:00
Cebu City,Central Visayas,Philippines,"Cebu City, Philippines",0,4/25/15 11:00
Dobbs Ferry,New York,United States,"Dobbs Ferry, United States",25,4/25/15 11:01
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 11:01
New Ash Green,England,United Kingdom,"New Ash Green, United Kingdom",14,4/25/15 11:03
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 11:04
Overton,England,United Kingdom,"Overton, United Kingdom",3,4/25/15 11:04
Brescia,Lombardy,Italy,"Brescia, Italy",1,4/25/15 11:05
Wisches,Alsace,France,"Wisches, France",100,4/25/15 11:05
Barcelona,Catalonia,Spain,"Barcelona, Spain",0,4/25/15 11:06
Gandrange,Lorraine,France,"Gandrange, France",50,4/25/15 11:07
Kathmandu,Central Region,Nepal,"Kathmandu, Nepal",1,4/25/15 11:07
Mumbai,Maharashtra,India,"Mumbai, India",0,4/25/15 11:07
Grays,England,United Kingdom,"Grays, United Kingdom",4,4/25/15 11:08
Minato,Tokyo,Japan,"Minato, Japan",0,4/25/15 11:09
Mumbai,Maharashtra,India,"Mumbai, India",0,4/25/15 11:09
Bethesda,Maryland,United States,"Bethesda, United States",4,4/25/15 11:10
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 11:11
Sonipat,Haryana,India,"Sonipat, India",6,4/25/15 11:12
Madrid,Community of Madrid,Spain,"Madrid, Spain",0,4/25/15 11:13
San Francisco,California,United States,"San Francisco, United States",1,4/25/15 11:13
Adelaide,South Australia,Australia,"Adelaide, Australia",0,4/25/15 11:14
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 11:14
Siliguri,West Bengal,India,"Siliguri, India",4,4/25/15 11:14
Dusseldorf,North Rhine-Westphalia,Germany,"Dusseldorf, Germany",0,4/25/15 11:15
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 11:16
Pleasanton,California,United States,"Pleasanton, United States",25,4/25/15 11:16
Quezon City,Metro Manila,Philippines,"Quezon City, Philippines",0,4/25/15 11:16
Tandragee,Northern Ireland,United Kingdom,"Tandragee, United Kingdom",20,4/25/15 11:16
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 11:17
Ryhall,England,United Kingdom,"Ryhall, United Kingdom",6,4/25/15 11:17
Bamako,Koulikoro,Mali,"Bamako, Mali",1,4/25/15 11:18
Kochi,Kochi Prefecture,Japan,"Kochi, Japan",2,4/25/15 11:18
Quezon City,Metro Manila,Philippines,"Quezon City, Philippines",0,4/25/15 11:18
Geneva,Geneva,Switzerland,"Geneva, Switzerland",1,4/25/15 11:19
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 11:19
Thornton Dale,England,United Kingdom,"Thornton Dale, United Kingdom",8,4/25/15 11:19
Dubai,Dubai,United Arab Emirates,"Dubai, United Arab Emirates",0,4/25/15 11:20
New York,New York,United States,"New York, United States",0,4/25/15 11:20
Give Municipality,DK-83,Denmark,"Give Municipality, Denmark",50,4/25/15 11:22
Short Pump,Virginia,United States,"Short Pump, United States",14,4/25/15 11:22
Gretton,England,United Kingdom,"Gretton, United Kingdom",6,4/25/15 11:24
Kathmandu,Central Region,Nepal,"Kathmandu, Nepal",1,4/25/15 11:24
Burlington,Vermont,United States,"Burlington, United States",5,4/25/15 11:25
Leuven,Flanders,Belgium,"Leuven, Belgium",2,4/25/15 11:26
Saultain,Nord-Pas-de-Calais,France,"Saultain, France",100,4/25/15 11:26
Decatur,Georgia,United States,"Decatur, United States",8,4/25/15 11:27
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 11:27
Minato,Tokyo,Japan,"Minato, Japan",0,4/25/15 11:27
Thimphu,Thimphu,Bhutan,"Thimphu, Bhutan",4,4/25/15 11:27
Capistrello,Abruzzo,Italy,"Capistrello, Italy",100,4/25/15 11:29
Bangalore,Karnataka,India,"Bangalore, India",0,4/25/15 11:29
Buckshaw Village,England,United Kingdom,"Buckshaw Village, United Kingdom",14,4/25/15 11:30
Providence,Rhode Island,United States,"Providence, United States",4,4/25/15 11:30
Ahmedabad,Gujarat,India,"Ahmedabad, India",0,4/25/15 11:32
Thornaby,England,United Kingdom,"Thornaby, United Kingdom",1,4/25/15 11:32
Hanover,Lower Saxony,Germany,"Hanover, Germany",0,4/25/15 11:33
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 11:34
Howrah,West Bengal,India,"Howrah, India",0,4/25/15 11:35
Amsterdam,North Holland,Netherlands,"Amsterdam, Netherlands",0,4/25/15 11:38
Satsumasendai,Kagoshima Prefecture,Japan,"Satsumasendai, Japan",20,4/25/15 11:38
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 11:39
Gangtok,Sikkim,India,"Gangtok, India",20,4/25/15 11:40
Kathmandu,Central Region,Nepal,"Kathmandu, Nepal",1,4/25/15 11:40
Kathmandu,Central Region,Nepal,"Kathmandu, Nepal",1,4/25/15 11:41
Leesburg,Georgia,United States,"Leesburg, United States",50,4/25/15 11:42
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 11:42
Stanford in the Vale,England,United Kingdom,"Stanford in the Vale, United Kingdom",25,4/25/15 11:42
Howrah,West Bengal,India,"Howrah, India",0,4/25/15 11:43
Pescara,Abruzzo,Italy,"Pescara, Italy",1,4/25/15 11:44
Ahmedabad,Gujarat,India,"Ahmedabad, India",0,4/25/15 11:44
Hove,England,United Kingdom,"Hove, United Kingdom",3,4/25/15 11:44
Cluj-Napoca,Cluj County,Romania,"Cluj-Napoca, Romania",1,4/25/15 11:45
Leicester,England,United Kingdom,"Leicester, United Kingdom",1,4/25/15 11:45
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/25/15 11:45
Schofield Barracks,Hawaii,United States,"Schofield Barracks, United States",17,4/25/15 11:45
Palm Beach Gardens,Florida,United States,"Palm Beach Gardens, United States",2,4/25/15 11:47
Aldershot,England,United Kingdom,"Aldershot, United Kingdom",7,4/25/15 11:48
East Syracuse,New York,United States,"East Syracuse, United States",7,4/25/15 11:48
Nidda,Hesse,Germany,"Nidda, Germany",33,4/25/15 11:48
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/25/15 11:48
Fairview,New York,United States,"Fairview, United States",100,4/25/15 11:49
Queenstown,Otago,New Zealand,"Queenstown, New Zealand",14,4/25/15 11:49
Auckland,Auckland,New Zealand,"Auckland, New Zealand",0,4/25/15 11:50
Hawthorne,California,United States,"Hawthorne, United States",17,4/25/15 11:50
Yonkers,New York,United States,"Yonkers, United States",2,4/25/15 11:51
Chazay-d'Azergues,Rhone-Alpes,France,"Chazay-d'Azergues, France",25,4/25/15 11:52
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 11:53
Dhaka,Dhaka Division,Bangladesh,"Dhaka, Bangladesh",0,4/25/15 11:54
Bangkok,Bangkok,Thailand,"Bangkok, Thailand",0,4/25/15 11:55
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 11:56
Adderbury,England,United Kingdom,"Adderbury, United Kingdom",50,4/25/15 11:57
Altamonte Springs,Florida,United States,"Altamonte Springs, United States",0,4/25/15 11:57
Cebu City,Central Visayas,Philippines,"Cebu City, Philippines",0,4/25/15 11:57
Farnborough,England,United Kingdom,"Farnborough, United Kingdom",2,4/25/15 11:57
Irving,Texas,United States,"Irving, United States",3,4/25/15 11:57
Jakarta,Jakarta,Indonesia,"Jakarta, Indonesia",0,4/25/15 11:57
New York,New York,United States,"New York, United States",0,4/25/15 11:57
North Tonawanda,New York,United States,"North Tonawanda, United States",10,4/25/15 11:57
High Wycombe,England,United Kingdom,"High Wycombe, United Kingdom",3,4/25/15 11:58
Killingworth,England,United Kingdom,"Killingworth, United Kingdom",10,4/25/15 11:58
Amsterdam,North Holland,Netherlands,"Amsterdam, Netherlands",0,4/25/15 11:59
Coral Gables,Florida,United States,"Coral Gables, United States",7,4/25/15 11:59
Hayes,England,United Kingdom,"Hayes, United Kingdom",2,4/25/15 11:59
Yokohama,Kanagawa Prefecture,Japan,"Yokohama, Japan",0,4/25/15 11:59
Atlanta,Georgia,United States,"Atlanta, United States",0,4/25/15 12:00
Pokhara,Western Region,Nepal,"Pokhara, Nepal",7,4/25/15 12:00
Kathmandu,Central Region,Nepal,"Kathmandu, Nepal",1,4/25/15 12:01
Rome,Lazio,Italy,"Rome, Italy",0,4/25/15 12:01
Sharjah,Sharjah,United Arab Emirates,"Sharjah, United Arab Emirates",0,4/25/15 12:01
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 12:03
Columbus,Ohio,United States,"Columbus, United States",0,4/25/15 12:04
Mumbai,Maharashtra,India,"Mumbai, India",0,4/25/15 12:04
Atlanta,Georgia,United States,"Atlanta, United States",0,4/25/15 12:05
Harrow,England,United Kingdom,"Harrow, United Kingdom",3,4/25/15 12:05
Brisbane,Queensland,Australia,"Brisbane, Australia",0,4/25/15 12:06
Huldenberg,Flanders,Belgium,"Huldenberg, Belgium",17,4/25/15 12:06
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 12:06
North Andover,Massachusetts,United States,"North Andover, United States",17,4/25/15 12:06
Bellevue,Wisconsin,United States,"Bellevue, United States",17,4/25/15 12:07
Columbia,Maryland,United States,"Columbia, United States",4,4/25/15 12:07
Ghaziabad,Uttar Pradesh,India,"Ghaziabad, India",1,4/25/15 12:07
Mumbai,Maharashtra,India,"Mumbai, India",0,4/25/15 12:07
Frederiksberg,Capital Region of Denmark,Denmark,"Frederiksberg, Denmark",3,4/25/15 12:08
Halifax,Nova Scotia,Canada,"Halifax, Canada",1,4/25/15 12:08
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 12:09
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/25/15 12:11
Charlotte,North Carolina,United States,"Charlotte, United States",0,4/25/15 12:12
Florence,Tuscany,Italy,"Florence, Italy",0,4/25/15 12:12
Irving,Texas,United States,"Irving, United States",3,4/25/15 12:12
Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia,"Kuala Lumpur, Malaysia",0,4/25/15 12:12
Rankweil,Vorarlberg,Austria,"Rankweil, Austria",33,4/25/15 12:13
Dubai,Dubai,United Arab Emirates,"Dubai, United Arab Emirates",0,4/25/15 12:14
Bangalore,Karnataka,India,"Bangalore, India",0,4/25/15 12:15
Basildon,England,United Kingdom,"Basildon, United Kingdom",1,4/25/15 12:15
Great Dunmow,England,United Kingdom,"Great Dunmow, United Kingdom",2,4/25/15 12:15
Adelaide,South Australia,Australia,"Adelaide, Australia",0,4/25/15 12:17
Chennai,Tamil Nadu,India,"Chennai, India",0,4/25/15 12:17
Potter Heigham,England,United Kingdom,"Potter Heigham, United Kingdom",2,4/25/15 12:20
Yukon,Oklahoma,United States,"Yukon, United States",17,4/25/15 12:20
Cambridge,Massachusetts,United States,"Cambridge, United States",1,4/25/15 12:21
Grand Rapids,Michigan,United States,"Grand Rapids, United States",1,4/25/15 12:21
Pembroke Pines,Florida,United States,"Pembroke Pines, United States",1,4/25/15 12:21
Ahmedabad,Gujarat,India,"Ahmedabad, India",0,4/25/15 12:23
New York,New York,United States,"New York, United States",0,4/25/15 12:23
Ann Arbor,Michigan,United States,"Ann Arbor, United States",2,4/25/15 12:24
Brisbane,Queensland,Australia,"Brisbane, Australia",0,4/25/15 12:24
Hyderabad,Andhra Pradesh,India,"Hyderabad, India",0,4/25/15 12:24
Palampur,Himachal Pradesh,India,"Palampur, India",50,4/25/15 12:24
Pamplona,Navarre,Spain,"Pamplona, Spain",1,4/25/15 12:24
Auckland,Auckland,New Zealand,"Auckland, New Zealand",0,4/25/15 12:25
Bogotia,Cundinamarca,Colombia,"Bogotia, Colombia",0,4/25/15 12:25
Malden,Massachusetts,United States,"Malden, United States",13,4/25/15 12:25
Chapel Hill,North Carolina,United States,"Chapel Hill, United States",7,4/25/15 12:26
Dehradun,Uttarakhand,India,"Dehradun, India",2,4/25/15 12:26
Kathmandu,Central Region,Nepal,"Kathmandu, Nepal",1,4/25/15 12:26
Larkspur,California,United States,"Larkspur, United States",2,4/25/15 12:26
Munich,Bavaria,Germany,"Munich, Germany",0,4/25/15 12:26
Biella,Piedmont,Italy,"Biella, Italy",4,4/25/15 12:28
Bangalore,Karnataka,India,"Bangalore, India",0,4/25/15 12:28
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 12:28
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/25/15 12:28
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/25/15 12:28
Arnhem,Gelderland,Netherlands,"Arnhem, Netherlands",2,4/25/15 12:29
Perth,Western Australia,Australia,"Perth, Australia",0,4/25/15 12:29
Sutton-in-Ashfield,England,United Kingdom,"Sutton-in-Ashfield, United Kingdom",13,4/25/15 12:30
Nantes,Pays de la Loire,France,"Nantes, France",0,4/25/15 12:31
New York,New York,United States,"New York, United States",0,4/25/15 12:31
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 12:33
Norton,England,United Kingdom,"Norton, United Kingdom",3,4/25/15 12:33
Ottawa,Ontario,Canada,"Ottawa, Canada",0,4/25/15 12:33
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/25/15 12:33
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 12:34
Windermere,England,United Kingdom,"Windermere, United Kingdom",6,4/25/15 12:34
Abu Dhabi,Abu Dhabi,United Arab Emirates,"Abu Dhabi, United Arab Emirates",0,4/25/15 12:35
Doha,Ad Dawhah,Qatar,"Doha, Qatar",0,4/25/15 12:36
York,England,United Kingdom,"York, United Kingdom",1,4/25/15 12:36
Lenham,England,United Kingdom,"Lenham, United Kingdom",2,4/25/15 12:38
Brunswick,Maine,United States,"Brunswick, United States",8,4/25/15 12:40
Secunderabad,Andhra Pradesh,India,"Secunderabad, India",1,4/25/15 12:40
East Kilbride,Scotland,United Kingdom,"East Kilbride, United Kingdom",3,4/25/15 12:41
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 12:41
Acton,Massachusetts,United States,"Acton, United States",20,4/25/15 12:43
Ann Arbor,Michigan,United States,"Ann Arbor, United States",1,4/25/15 12:46
Auchterarder,Scotland,United Kingdom,"Auchterarder, United Kingdom",13,4/25/15 12:46
Blacksburg,Virginia,United States,"Blacksburg, United States",2,4/25/15 12:46
Dubai,Dubai,United Arab Emirates,"Dubai, United Arab Emirates",0,4/25/15 12:46
Guwahati,Assam,India,"Guwahati, India",1,4/25/15 12:46
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 12:46
Doha,Ad Dawhah,Qatar,"Doha, Qatar",0,4/25/15 12:47
Toronto,Ontario,Canada,"Toronto, Canada",0,4/25/15 12:47
Hayes,England,United Kingdom,"Hayes, United Kingdom",1,4/25/15 12:48
New York,New York,United States,"New York, United States",0,4/25/15 12:48
Donetsk,Donetsk Oblast,Ukraine,"Donetsk, Ukraine",1,4/25/15 12:49
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 12:49
San Marino,City of San Marino,San Marino,"San Marino, San Marino",7,4/25/15 12:50
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 12:50
Nether Stowey,England,United Kingdom,"Nether Stowey, United Kingdom",7,4/25/15 12:51
The Hague,South Holland,Netherlands,"The Hague, Netherlands",0,4/25/15 12:51
Hoogvliet Rotterdam,South Holland,Netherlands,"Hoogvliet Rotterdam, Netherlands",6,4/25/15 12:52
Jersey City,New Jersey,United States,"Jersey City, United States",2,4/25/15 12:52
Milan,Lombardy,Italy,"Milan, Italy",0,4/25/15 12:52
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 12:52
