District - 13 Sept 2018,Code,State,FIRST,SECOND,THIRD,FOURTH,FIFTH,SIXTH,SEVENTH,EIGHTH,NINTH,TENTH,2003 Invasion of Iraq,Abortion,Abortion-rights movement,Affirmative action,Agricultural subsidies,Aid,Alternative energy,Anti-abortion movements,Basic income,Body worn video,Campaign finance,Campus sexual assault,Capital gains tax,Capital punishment,Charter schools,Chelsea Manning,Climate change,Common core,Confederate states,Corporate tax,DACA,Dakota Access pipeline,Dream act,Drug policy,Drug testing welfare recipients,Economic stimulus,Edward Snowden,Electoral college,Electoral fraud,Electronic Classroom of Tomorrow,Eminent domain,Equal pay for equal work,Estate tax in the United States,Euthanasia,Executive Order 13769,Federal reserve system,First amendment,Flag desecration,Flags of the confederate states,Free trade,Freedom of religion,Gender identity,Gender workplace diversity,Genetically modified organism,Gerrymandering,Global warming,Government spending,Gun control,Health care,Hydraulic fracturing,Immigration,Immigration to the United States,Income tax,Iraq War,ISIS,Islam,Israel boycott,Joint Comprehensive Plan of Action (Iran Deal),Labor Unions in the United States,Legal history of cannabis in the United States,Legality of cannabis,LGBT adoption rights,LGBT rights,Lobbying,Lockheed Martin F-35,Maternity leave in the United States,Medicaid,Medicare,Mental health,Mexico-United States barrier,Military budget,Military service,Minimum wage,NAFTA,National Debt of the United States,National security,National Security Agency,NATO,Net neutrality,No fly list,North Korea and weapons of mass destruction,Nuclear power,Obamacare,Offshore bank,Offshore drilling,Overtime pay,Paris Agreement,Patriot act,Pensions,Planned Parenthood,Political corruption,Prescription costs,PRISM,Prison overcrowding,Private Prisons,Property taxes,Public transportation,Right to work,Russian interference in the 2016 United States elections,Russian military action in Syria,Safe spaces,Same-sex marriage,Sanctuary cities,September 11 attacks,Sick leave,Single-payer healthcare,Social programs in the United States,Social security,Solitary confinement,Space exploration,Student loans in the United States,Syrian civil war,Tariff,Tax Cuts and Jobs Act of 2017,Term limits in the United States,Terrorism,Torture,TPP,Transgender people in the military,U.S. national anthem protests,United Nations,Vaccine controversies,Voter turnout,Voting age,War in Afghanistan,Welfare,Whistleblower,Women in combat,Women's health
Arkansas 3rd,AR-03,AR,September 11 attacks,Medicaid,Health care,Immigration,Medicare,Mental health,Abortion,Social security,Property taxes,Income tax,0.1278,3.1059,0.0911,0.2565,0,0.9111,0.0931,0.2295,0,0.1214,0.05,0.0815,0.1542,0.9888,0.6014,0.0392,1.4235,1.0392,0.7033,0.3949,0.3288,0.0352,0.0099,0.0407,0,0.0099,0.3573,0.5165,0.1498,0.0168,0.097,0.038,0.1134,0.4186,0.0572,1.4016,0.6339,0.0543,0.6453,0.102,0.2052,0.0489,0,0.5252,0.2247,0.8308,0.2978,0.24,6.5124,0.2335,5.6117,0.435,1.9564,0.347,0.5661,1.9056,0,0,0.0168,0,0.7207,0.0101,0.016,0.3273,0.1033,0,6.8155,4.7476,3.3346,0,0.0839,0.1384,1.7176,0.4501,0.4266,0.1074,0.2985,0.2098,0.0983,0,0,0.8429,1.3196,0.0168,0.0197,0.4365,0.0782,0.1211,0.7005,0.9784,0.0618,0.0096,0,0,0.0557,2.003,0.3364,0.1134,0,0.0191,0.0396,0.5003,0.0173,10.0224,0.1337,0,0.1968,2.9237,0,0.0096,0.0551,0.1612,1.4188,0,0,0.6659,0.4898,0.0209,0,0.0171,1.0179,0.0101,0.0524,0.0095,0.1109,0.2845,0.151,0.0098,0.6291
Arkansas 4th,AR-04,AR,September 11 attacks,Mental health,Medicaid,Labor Unions in the United States,First amendment,Terrorism,Health care,United Nations,Common core,2003 Invasion of Iraq,2.0001,1.4639,0,0,0,0.2116,0,0,0,0,0,0,0.212,0.4105,0.6423,0,0.2058,2.0403,0.2146,0.2088,0,0,0,0,0,0,0.2066,0,0,0,0,0,0,0.2074,0,0,3.5058,0,0.417,0,0,0,0,0,0,0.6009,0,0.2021,2.7471,0,0.5901,0,0.6193,0.3976,0.2069,0.8045,0,0,3.5338,0,0,0,0,1.9367,1.9483,0,3.8649,1.7651,5.4923,0,0,0.2068,0.7955,0,0.3908,0,0,0.4065,0,0,0,0.3949,0.2017,0,0,0,0,0.1961,0.5912,0,0,0,0,0,0,0.5914,0.3937,0,0,0,0,0.2043,0,23.4793,0.2005,0,0,1.3816,0,0,0,0,0,0,0,3.4309,0,0,0,0,2.3186,0,1.7092,0,0,0,0,0,0
Arizona 1st,AZ-01,AZ,Health care,September 11 attacks,Minimum wage,Medicare,Mental health,Immigration,Abortion,Social security,Islam,Nuclear power,0.1719,3.044,0.0363,0.1298,0,0.7638,0.037,0.2027,0.0357,0.086,0.2189,0.0231,0.3265,0.8595,1.1577,0.024,1.4703,0.7666,0.8867,0.2796,0.5355,0.0117,0.0241,0.0363,0,0,0.4491,0.6669,0.0115,0,0.117,0.2115,0.4061,0.3912,0.0721,0.6217,1.5778,0,0.3336,0,0.2592,0.1267,0,1.4498,0.3508,0.6403,0.0439,1.1735,15.4038,0.2757,3.7127,0.0581,0.9947,0.1237,0.2788,1.8906,0,0.1191,0,0,0.4805,0,0.0232,0.8285,0.1626,0,0.8975,4.2429,3.8257,0.0249,0.0776,0.6741,4.2655,0.1536,0.2426,0.256,0.2815,0.2981,0.1678,0.0112,0,1.7118,1.5015,0.0112,0.2006,0.1329,0.0567,0.2168,0.9416,1.4878,0.0353,0,0.0599,0,0.1584,1.3814,0.6086,0.2887,0,1.4051,0.1935,0.2286,0.0751,9.4765,0.306,0,0.0998,2.3624,0.0328,0.0324,0.1013,0.1012,0.5914,0,0,0.9679,0.416,0.0726,0,0,1.0631,0.0827,0.0778,0.0339,0.022,0.1357,0.2004,0.0238,0.2905
Arizona 2nd,AZ-02,AZ,September 11 attacks,Health care,Medicare,Mental health,Minimum wage,Immigration,Abortion,Social security,Terrorism,ISIS,0.1503,3.0085,0.0508,0.1791,0.0022,0.686,0.0386,0.1246,0.0439,0.0521,0.0331,0.0043,0.2748,0.8493,1.0278,0.0496,0.6911,1.0286,0.7577,0.1755,0.5199,0.0978,0.0128,0.0619,0,0.0043,0.2775,0.2066,0.0717,0,0.0893,0.0646,0.0201,0.4146,0.1088,0.4255,0.5224,0.0579,0.2995,0.0779,0.0416,0.0472,0,0.742,0.2846,0.3938,0.0973,0.5265,9.934,0.0824,3.7451,0.1526,1.7356,0.38,1.8752,1.8559,0.0322,0.0063,0.0022,0.0021,0.6741,0.0044,0.0561,0.1493,0.271,0,1.1533,6.4098,4.3621,0.0262,0.1902,0.6197,3.925,0.7608,0.6072,0.426,0.3366,0.7349,0.8618,0,0.0315,0.8703,1.13,0.0087,0.0302,0.5542,0.0381,0.0855,1.0587,1.3139,0.0651,0.0021,0.1444,0.0021,0.0549,1.4696,0.5557,0.1296,0,0.0062,0.065,0.6046,0.244,11.9222,0.4587,0,0.2834,2.7417,0.0613,0.0292,0.0105,0.3882,0.6492,0,0.0774,2.1846,0.7048,0.1306,0,0.0133,1.014,0.011,0.03,0.0693,0.0943,0.0755,0.2148,0.0042,0.2423
Arizona 3rd,AZ-03,AZ,September 11 attacks,Health care,Mental health,Immigration,Abortion,Minimum wage,Medicare,Social security,Islam,Common core,0.0319,3.8743,0.224,0.1276,0,0.5541,0,0.162,0,0.0658,0.6345,0,0.1614,0.8666,1.6176,0.0311,0.5047,1.8788,0.3637,0.0302,1.4706,0,0.0623,0,0,0,0.1593,0.4921,0.0324,0,0.1289,0.0325,0.0967,0.637,0.1295,0.2198,0.8735,0.0643,0.1295,0.0932,0.0304,0.1248,0,0.4364,0.5874,0.4651,0.1539,0.2803,7.952,0.1839,5.2003,0.124,0.9959,0.2141,0.4143,2.434,0,0.0305,0,0,0.7731,0.0318,0.0599,0.1557,0.3433,0,1.1838,3.0828,5.9101,0.0623,0.061,0.3187,3.1709,0.0314,0.1828,0.0314,0.3037,0.9099,0.1606,0,0,0.6639,0.9771,0.0314,0,0.2552,0.123,0.1505,0.6372,1.272,0.0937,0,0,0,0.0635,0.9719,0.4282,0.0921,0,0,0.1271,0.4784,0.0324,9.3671,0.4325,0,0.1222,2.5062,0.0309,0.121,0.0609,0.1888,0.7795,0,0.032,0.9125,0.644,0.0994,0,0.033,0.7666,0,0.0942,0.0607,0,0.2132,0.0307,0.0294,0.5454
Arizona 4th,AZ-04,AZ,September 11 attacks,Health care,Medicare,Mental health,Social security,Minimum wage,Abortion,Property taxes,Income tax,Islam,0.0741,2.7967,0,0.5947,0,0.4549,0.0761,0.1529,0.0735,0.3055,0.0739,0,0.9051,1.0731,1.2167,0.0721,0.6547,1.6635,0.614,0.2898,0.4607,0,0.0724,0,0,0,0.2955,1.8593,0,0,0,0.0755,0.3761,0.2201,0,0.5079,0.7199,0,0.2238,0.2192,0.149,0.0732,0,0.3623,0.1437,0.4314,0.1413,0.799,9.8959,0.071,1.545,0.2198,1.969,0.2114,0.8991,1.9552,0,0.0726,0.0731,0,0.6391,0,0.0696,0.2908,0.8,0,1.2667,6.5956,4.9426,0,0.0708,0.2198,3.2785,0.5849,0.4221,0.4419,0.8431,0.291,0.0758,0,0,0.7729,1.0155,0.0729,0.2905,0.3634,0.2142,0.2803,0.9863,1.0546,0,0.0705,0,0,0,2.4645,0.1406,0,0,0,0,0.3679,0,10.1419,0.6448,0,0,4.2655,0,0,0.0707,0.143,0.1455,0,0,1.6946,1.0669,0,0,0.0763,0.7806,0,0.0729,0,0.146,0,0.1417,0,0.3506
Arizona 5th,AZ-05,AZ,September 11 attacks,Health care,Medicare,Social security,Minimum wage,Mental health,Immigration,Abortion,Charter schools,Property taxes,0.1835,2.2371,0.0724,0.3548,0.0691,0.5039,0,0.197,0,0.074,0.0716,0,0.465,0.6586,2.0643,0.0349,0.7398,1.2362,0.6577,0.1582,0.567,0,0.083,0,0,0,0.1211,0.3753,0,0,0.0859,0.0836,0.0732,0.4721,0.0718,0.8115,0.4149,0.0495,0.335,0.0709,0.1845,0,0,0.3322,0.104,0.5466,0.2344,0.4391,7.0789,0.2701,2.6664,0.1459,1.3784,0.069,0.9747,1.383,0,0,0.0504,0,0.4422,0,0,0.3564,0.5528,0,1.0779,3.4196,2.7582,0,0.0813,0.1556,2.9298,0.3348,0.7433,0.1805,0.45,0.4175,0.3272,0.0353,0,1.1457,0.8108,0,0.1182,0.4256,0,0.068,0.6518,0.7102,0.0482,0,0,0,0.1338,1.9203,0.4734,0,0,0.034,0.0352,0.4252,0.0729,15.8448,0.7978,0,0.1157,3.1274,0.0475,0.2682,0.1625,0.1414,1.1624,0,0.0492,0.8219,0.5457,0.0852,0,0,0.753,0,0.1657,0.1021,0.0347,0.115,0.2673,0,0.2646
Arizona 6th,AZ-06,AZ,Health care,September 11 attacks,Immigration,Mental health,Abortion,Medicare,Minimum wage,Planned Parenthood,Islam,Property taxes,0.0231,3.9975,0.1512,0.3697,0.0223,0.5552,0.023,0.1661,0.0802,0.1312,0.1839,0.0344,0.3778,1.4659,0.9802,0.0809,1.3436,0.8347,0.5264,0.2522,0.8235,0.0238,0.1015,0.0809,0.0549,0.0456,0.3226,0.3342,0.0228,0,0.1882,0.0338,0.141,0.7488,0.0589,0.7902,0.8442,0.0349,0.2912,0.146,0.1722,0.2737,0,0.789,0.089,0.7863,0.1895,0.7075,14.2904,0.3435,4.8975,0.216,1.428,0.2209,0.686,2.0078,0.0224,0.011,0,0,0.5633,0.0226,0.0543,0.7699,0.3623,0,1.6579,3.5687,4.4773,0.0466,0.0554,0.2056,3.1605,0.5386,0.3641,0.243,0.4291,0.6485,0.3257,0,0,0.9656,1.2476,0,0.0566,0.3083,0.2344,0.2847,0.8702,2.4299,0.0685,0.022,0.0236,0,0.1032,1.8969,0.7123,0.0556,0,0.0219,0.068,0.6346,0.1408,6.9515,0.6378,0,0.2438,1.8818,0.0894,0.2855,0.0662,0.2015,0.9536,0,0,0.9698,0.7213,0.1049,0,0,1.2539,0.0462,0.1124,0.0218,0.135,0.1875,0.256,0.0112,0.5594
Arizona 7th,AZ-07,AZ,Health care,September 11 attacks,Immigration,Medicare,Mental health,Abortion,Minimum wage,Islam,Social security,Charter schools,0.0152,3.1026,0.1397,0.2167,0.0057,0.4743,0.0514,0.1222,0.0199,0.1653,0.1006,0.0115,0.3917,0.8937,1.6512,0.0302,0.4083,1.0694,0.6393,0.116,1.4479,0.0156,0.1188,0.0098,0.0028,0.0019,0.1397,0.3955,0.0253,0,0.1584,0.0582,0.0813,0.5065,0.0518,0.5171,0.8204,0.04,0.298,0.2297,0.3218,0.0839,0,0.5464,0.1338,0.4616,0.1358,0.3306,9.0759,0.1887,4.5097,0.1079,0.9638,0.1558,0.4302,2.6671,0.019,0.0136,0.0128,0,0.4847,0.0019,0.0231,0.4118,0.4085,0,1.2987,4.2865,4.207,0.0335,0.0943,0.312,3.0632,0.512,0.3066,0.1331,0.4261,0.3395,0.1812,0.0019,0,0.9714,0.8844,0.014,0.0181,0.3427,0.0387,0.1477,0.9531,1.5175,0.0971,0.0163,0.003,0.01,0.0742,1.4339,0.6096,0.0871,0.001,0.0401,0.0351,0.3658,0.2248,7.9554,0.5176,0,0.2195,2.6275,0.0446,0.0875,0.0553,0.1269,0.8249,0,0.0304,0.8354,0.6052,0.0465,0,0.0359,0.7437,0.0335,0.0475,0.0295,0.0814,0.1737,0.345,0.0181,0.5431
Arizona 8th,AZ-08,AZ,September 11 attacks,Health care,Medicare,Mental health,Minimum wage,Social security,Abortion,Immigration,Charter schools,Property taxes,0.0299,2.8489,0.0827,0.1887,0.0126,0.51,0.0307,0.0983,0.0593,0.1117,0.1556,0.0343,0.3206,0.9381,2.0971,0.0291,0.6865,1.0894,0.5146,0.0999,0.4851,0.0135,0.0511,0,0,0.0166,0.1043,0.485,0.0265,0,0.2309,0.0305,0.0666,0.4302,0.0463,0.3586,0.8271,0.0132,0.1887,0.1666,0.2089,0.0837,0,0.3944,0.1174,0.6503,0.5204,0.4115,7.575,0.1775,2.6425,0.1013,1.1876,0.1344,0.4976,1.6545,0,0,0.096,0.016,0.4609,0,0,0.1724,0.5081,0,1.2029,5.709,3.8753,0.0132,0.0411,0.4582,3.166,0.5234,0.449,0.1407,0.2139,0.1638,0.254,0,0,1.1708,1.1821,0,0.0293,0.299,0.0776,0.0691,1.028,1.1941,0.1033,0.0285,0,0.0163,0.0168,1.74,0.3483,0.1119,0,0,0.0331,0.4315,0.2335,11.4967,0.5881,0,0.095,2.9302,0.0163,0.0732,0.0948,0.1306,1.2948,0,0.0469,0.8835,1.2569,0.0447,0,0.0339,0.5125,0.0561,0.1292,0.1678,0.0327,0.2594,0.1026,0,0.4598
Arizona 9th,AZ-09,AZ,Health care,September 11 attacks,Mental health,Medicare,Immigration,Abortion,Minimum wage,Social security,Islam,Planned Parenthood,0.0216,3.3256,0.1335,0.2507,0.0127,0.6311,0.047,0.1313,0.0323,0.1082,0.166,0.0115,0.36,1.0954,1.5114,0.0373,0.7238,1.029,0.6114,0.1989,0.8458,0.0219,0.071,0.0546,0.0233,0.0152,0.2706,0.3431,0.0186,0,0.1044,0.0692,0.0745,0.5879,0.0786,0.6835,0.7845,0.0218,0.2828,0.1371,0.1784,0.1285,0,0.6772,0.1653,0.5131,0.1387,0.4971,11.0353,0.2569,4.0145,0.1374,1.2295,0.1387,0.622,2.3226,0.0075,0.0087,0.0246,0,0.4697,0.0244,0.0383,0.4392,0.273,0,1.5811,4.0553,4.0696,0.0738,0.0786,0.2801,3.0396,0.5008,0.3443,0.1764,0.3714,0.4132,0.3682,0.0026,0,1.0108,0.9289,0,0.0406,0.302,0.1043,0.1576,1.0629,1.8441,0.0562,0.0232,0.0136,0.0026,0.0748,1.7198,0.4984,0.0469,0,0.0331,0.0417,0.4683,0.161,8.8101,0.6279,0,0.244,2.3904,0.0378,0.1999,0.0874,0.1648,1.0284,0,0.0272,1.0261,0.8008,0.0742,0,0.0179,1.056,0.0315,0.0933,0.0357,0.0872,0.1428,0.2058,0.0037,0.5009
California 1st,CA-01,CA,Mental health,Medicare,September 11 attacks,Health care,Charter schools,Immigration,Abortion,Minimum wage,Property taxes,Islam,0.7754,5.713,0.3877,0,0.0925,0.5877,0,0.0991,0,0,0,0,1.5864,1.1121,5.9062,0.485,0.2863,1.0675,0.199,0.1937,0,0.0989,0,0,0,0,0.2875,1.197,0,0,0,0.6465,0.1958,0,0,0.2805,0.8462,0,0,0.1896,0.0926,0,0,1.1333,0,0.7535,0,0.756,7.0056,0.659,5.766,0,2.1085,0.0923,0.5759,2.5596,0,0,0,0,0.3762,0,0.0902,0,0,0,0.8346,7.5878,10.9948,0,0,0.1887,2.9615,0.7632,0,0,0.8212,0.0964,0,0,0,0.0909,0.8427,0,0.2818,0.7762,0,0.182,0.916,1.9306,0,0,0.197,0,0,2.7596,1.2843,0,0,0,0,0.2881,0,7.3889,1.5928,0,0.092,2.3972,0,0,0,0.1896,0.4719,0,0,0.7386,1.3889,0,0,0,0.7369,0,0.0946,0.2756,0,0.0917,0.0926,0,0.5463
California 2nd,CA-02,CA,Health care,September 11 attacks,Immigration,Medicare,Mental health,Minimum wage,Property taxes,Planned Parenthood,Climate change,Nuclear power,0.21,1.6425,0.0882,0.0815,0.0155,0.5709,0,0.2192,0.0105,0.1903,0.1041,0,0.6631,1.0915,1.0567,0.0108,1.8976,0.8218,1.2177,0.3504,0.4435,0.0054,0.0277,0.023,0,0,0.2641,0.2982,0.0288,0,0.016,0.0606,0.1424,0.1378,0.0442,1.5394,0.2669,0.0223,0.0804,0.3173,0.1164,0.038,0,0.4582,0.2513,0.8142,0.0779,0.2787,8.5961,0.2613,4.5942,0.258,1.1516,0.1701,0.4303,1.3836,0,0.0202,0.128,0,0.3894,0.0053,0.0051,0.1563,0.0657,0,0.4708,3.2333,3.1404,0.0053,0.0733,0.2732,2.8953,1.2213,0.1095,0.087,0.2347,0.4756,0.3558,0,0,1.6462,0.6998,0,0.0362,0.6203,0.061,0.0878,1.2766,1.9675,0.0156,0,0,0,0.0201,2.4496,1.0487,0.0051,0.0179,0.4407,0,0.3664,0.1654,6.0001,0.8639,0,0.1091,1.551,0.0051,0.0541,0.1025,0.5475,1.1768,0,0,0.7846,0.8918,0.022,0,0.0053,1.291,0.0231,0.1657,0.01,0.1038,0.1496,0.4107,0,0.386
California 3rd,CA-03,CA,September 11 attacks,Health care,Immigration,Mental health,Minimum wage,Medicare,Abortion,Social security,Common core,Planned Parenthood,0.129,3.125,0.2273,0.144,0,0.8729,0.0135,0.2182,0.0131,0.0607,0.1948,0.0134,0.4568,1.0674,2.0132,0.0445,1.369,2.6532,0.6886,0.1497,1.3737,0.0136,0.3192,0.0133,0,0,0.2801,0.3067,0.0598,0,0.0975,0,0.0331,0.2359,0.1078,0.6108,0.8583,0.0133,0.2791,0.0901,0.1932,0.089,0,0.527,0.156,0.4279,0.0755,0.5371,7.276,0.4081,5.556,0.1553,1.0611,0.1989,0.4303,2.0759,0,0.0184,0,0,0.891,0,0,0.2574,0.3627,0,0.9039,3.139,4.0343,0.0973,0.0873,0.2641,3.7508,1.0845,0.2971,0.0842,0.5218,0.5501,0.221,0.013,0,0.7674,0.8301,0,0.1839,0.8431,0.0441,0.2377,1.2673,2.1722,0.0905,0,0.0135,0,0.17,1.394,0.8417,0.044,0.0133,0.0549,0.0448,0.4365,0.0125,7.651,0.6395,0,0.26,3.0368,0.0315,0.0251,0.1668,0.1967,1.2227,0,0,0.9375,0.9351,0.0411,0,0.0132,1.0358,0.0255,0.147,0.0364,0.0823,0.4266,0.4263,0.0187,0.4303
California 4th,CA-04,CA,September 11 attacks,Minimum wage,Health care,Medicare,Common core,Property taxes,Abortion,Legality of cannabis,Social security,Mental health,0.6648,2.7036,0,0,0,1.3677,0.6879,0,0,0,0.668,0,0.6854,0.6457,0.6925,0,0.6652,3.4181,0,0,0.6903,0,0,0,0,0,0,0.6465,0,0,0,0,0,0,0,0.6515,0,0,0,0,0,0,0,0.6548,0,0.633,0,0.6536,5.6923,0,0.6359,0,0.6863,0,0,1.3132,0,0,0,0,2.5675,0,0,0,0,0,0,4.4531,1.8967,0.6348,0,0,5.8235,0,0,1.3484,1.2763,0.6576,0,0,0,0.633,0.6845,0,0,1.3411,0.6463,0,0.6376,0,0,0,0,0,0,3.1958,0.636,0,0,0,0,1.3249,0,9.9493,0,0,0.651,1.914,0,0.6376,0,0,0.6573,0,0,1.2751,0,0,0,0,0,0,0.6587,0,0,0,0.6453,0,0
California 5th,CA-05,CA,Health care,Immigration,September 11 attacks,Mental health,Property taxes,Confederate states,Aid,Medicare,Climate change,First amendment,0.9009,1.8175,0,0.9033,0,3.6759,0,0,0,0,0,0,0.9213,0.868,0.9306,0,2.6819,1.8196,3.7294,0.907,0.9459,0,0,0,0,0,0.8973,0.8692,0,0,0,0,0,0,0,2.6264,2.6418,0.9064,0,0,0,0.8897,0,0.8804,0,0,0,0,24.0378,0,10.2559,0.8901,0,0.864,0,0,0,0,0,0,0.8625,0,0,0.8848,0,0,0,3.4358,5.1314,0,0,0,2.5944,0,0,0,0,0.8841,0,0,0,0.8512,0,0,0,0,0,0,0,2.5635,0,0,0,0,0,4.2878,1.7676,0,0,0,0,0,0,9.5515,0,0,0,2.5732,0,0,0,0,0,0,0,0,1.7389,0,0,0,1.7309,0,0,0,0,0,0,0,0
California 6th,CA-06,CA,Health care,September 11 attacks,Mental health,Immigration,Minimum wage,Planned Parenthood,Medicare,Public transportation,Abortion,Social security,0.219,2.7021,0.3198,0.2423,0.0023,0.9352,0.0074,0.0754,0.0464,0.2174,0.1044,0.0023,0.2588,0.8443,1.6685,0.0098,0.4745,2.244,0.7026,0.1027,1.285,0,0.2175,0.0458,0,0.0024,0.2934,0.2945,0.0109,0.0012,0.0656,0.8483,0.0661,0.1559,0.0271,0.3483,0.784,0.0133,0.2634,0.0296,0.364,0.0945,0,0.5391,0.2144,0.3441,0.1763,0.2794,7.036,0.1222,4.244,0.2652,0.9025,0.0727,0.5413,2.3946,0,0.0035,0.0045,0.0011,0.224,0.0024,0.0023,0.394,0.3913,0,1.331,3.0449,4.2583,0.0085,0.1056,0.2009,4.0007,0.1505,0.1448,0.231,0.4238,0.2171,0.2237,0.0354,0.0011,1.2845,0.5332,0.0083,0.0178,0.3496,0.014,0.0638,1.5445,3.811,0.0811,0.0046,0.0037,0.0012,0.1645,1.7976,3.0028,0.0117,0,0.0103,0.2278,0.2551,0.0159,6.1433,0.4225,0,0.4857,2.5444,0.007,0.0561,0.0505,0.1004,0.8908,0,0.0383,0.6842,0.3546,0.0535,0,0.011,0.5804,0.0106,0.232,0.0171,0.0813,0.1004,0.0963,0.0035,0.5538
California 7th,CA-07,CA,September 11 attacks,Health care,Medicare,Immigration,Minimum wage,Mental health,Planned Parenthood,Social security,Islam,Abortion,0.0882,2.2865,0.1273,0.2185,0.012,1.1251,0.0204,0.1302,0,0.0421,0.0645,0,0.623,0.9045,1.5749,0.0526,0.4849,1.3701,0.6047,0.191,0.5082,0.0286,0.1218,0.044,0,0.0196,0.1841,0.3106,0.0272,0,0.0818,0.0932,0.0739,0.4448,0.0699,0.5006,0.8088,0.0388,0.2755,0.0821,0.143,0.0311,0,0.6402,0.1774,0.3233,0.1061,0.267,6.8766,0.0658,4.5409,0.0628,1.2258,0.2336,0.4595,2.3539,0.0077,0.0189,0,0,0.3329,0,0.0117,0.3775,0.1418,0,1.6847,5.0421,3.8531,0.02,0.1119,0.2303,3.9678,0.1953,0.4709,0.1554,0.3219,0.2645,0.3606,0.0122,0,0.8753,0.784,0.0279,0.052,0.8845,0.0316,0.0841,1.7855,2.8771,0.0634,0.0076,0.0129,0,0.0436,2.0225,2.1699,0.0309,0,0,0.0316,0.3153,0.0414,7.2219,0.6449,0,0.4795,2.5504,0.0343,0.0462,0.1108,0.126,1.1536,0,0.0076,0.9623,0.6495,0.0712,0,0.0239,0.8238,0.0204,0.0416,0,0.0948,0.3347,0.1627,0.0077,0.4724
California 8th,CA-08,CA,Health care,September 11 attacks,Mental health,Minimum wage,Abortion,Immigration,Medicare,Social security,Planned Parenthood,Terrorism,0.1582,4.2234,0.0585,0.0835,0.0372,1.267,0.222,0.0087,0,0.2313,0.0507,0,0.2715,0.7138,1.092,0.219,0.4057,1.9669,1.1392,0.0499,0.6789,0.0398,0.1039,0.0085,0,0,0.1642,0.2632,0.0086,0,0.0086,0.0394,0.0394,0.4687,0.0174,0.4707,0.9699,0,0.3093,0.0652,0.2236,0.0704,0,0.3332,0.3269,0.0973,0.0698,0.3816,11.2752,0.261,3.6311,0.2267,0.8883,0.4453,0.7698,1.4884,0,0,0.0084,0,0.4607,0,0,0.3129,0.1214,0,0.615,2.9145,4.6103,0.0085,0.0081,0.5885,4.2981,0.2308,0.1658,0.2826,0.1363,0.4385,0.1952,0,0,0.4031,0.5858,0,0.0868,0.5028,0,0.1554,1.342,2.3406,0.0083,0,0,0,0.0333,1.5924,1.6506,0.0477,0,0,0,0.5182,0,10.0178,0.283,0,0.4484,2.5177,0.0082,0.0161,0.0961,0.1328,0.3669,0,0,2.317,0.9203,0.0176,0,0.0387,0.5767,0.008,0.0641,0.0163,0.1219,0.2593,0.2551,0,0.5252
California 9th,CA-09,CA,September 11 attacks,Immigration,Health care,Mental health,Planned Parenthood,Minimum wage,Abortion,Islam,Terrorism,Medicare,0.134,3.5783,0.1016,0.2853,0,0.8449,0.0308,0.1197,0.0464,0.1065,0.111,0.0043,0.5449,1.0646,0.944,0.0436,0.7022,2.01,0.9131,0.1404,0.9985,0,0.1912,0.0245,0,0.0041,0.1639,0.6166,0.0302,0,0.0699,0.0601,0.0375,0.3502,0.0805,0.4124,1.0206,0.0354,0.2091,0.1337,0.1707,0.0522,0,0.3514,0.1264,0.5557,0.0372,0.5479,5.4594,0.0315,5.8456,0.3244,0.7131,0.175,0.527,3.5528,0,0,0.0401,0,0.2023,0.0204,0.0283,0.0897,0.0457,0,0.5593,2.6946,4.3396,0.0203,0.0314,0.1753,3.587,0.3216,0.2538,0.0746,0.3131,0.4256,0.2164,0,0,0.4997,0.9496,0.04,0.0041,0.5862,0.0081,0.1271,1.129,4.1457,0.063,0.0406,0.0043,0.0041,0.0553,1.3945,0.4246,0,0,0.0452,0.0401,0.4789,0.0369,7.5621,0.5164,0,0.255,2.3646,0.0122,0.032,0.0785,0.1015,1.033,0,0.0248,3.0755,0.4868,0.0174,0,0.0502,1.0938,0.0369,0.0083,0.0189,0.0913,0.2668,0.0638,0.0474,0.5027
California 10th,CA-10,CA,Health care,September 11 attacks,Immigration,Medicare,Minimum wage,Mental health,Abortion,Islam,Planned Parenthood,Social security,0.1923,3.3042,0.0267,0.1328,0,0.6224,0,0.0264,0,0.0273,0,0,0.0805,1.2801,1.3143,0,1.0312,1.8076,0.4663,0.2204,1.1901,0,0.3685,0,0,0,0.0264,0.4478,0.0253,0,0.0535,0.054,0.4454,0.0796,0,1.413,0.4205,0,0.2674,0.1806,0.2452,0.0785,0,0.2914,0.0771,0.179,0.1024,0.4169,7.609,0.0511,4.9235,0.0524,1.3075,0.1271,0.3514,2.6374,0,0,0,0,0.3585,0,0.0249,0.1548,0.1617,0,0.5913,4.6712,4.1269,0,0.4048,0.1058,4.5085,0.2349,0.2817,0.3264,0.511,0.1302,0.2222,0,0,0.5652,0.3736,0,0,0.7635,0,0.0248,0.9531,2.331,0.026,0.0252,0.027,0.0256,0.0264,1.4206,1.3426,0,0,0,0.3253,0.2709,0.1952,7.308,0.3657,0,0.1521,2.1015,0,0.3408,0.0254,0.0261,1.866,0,0,1.054,1.1571,0.055,0,0.1926,1.3802,0.1656,0,0.0249,0.0256,0.2022,0.0255,0,0.2323
